"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2015;629,00;1126;296;1483;193;0
2015;21,00;0;0;0;0;0
2015;615,00;736;201;937;35;0
2015;626,00;161;189;354;16;0
2015;417,00;0;0;0;0;0
2015;597,00;132;37;169;6;0
2015;539,00;1200;315;1515;88;0
2015;343,00;73;128;201;7;0
2015;135,00;0;0;0;0;0
2015;158,00;0;0;0;0;0
2015;775,00;733;298;1045;78;0
2015;177,00;0;0;0;0;0
2015;578,00;58;45;103;3;0
2015;416,00;0;0;0;0;0
2015;561,00;342;111;456;17;0
2015;62,00;0;0;0;0;0
2015;828,00;0;0;0;0;0
2015;860,00;35;18;53;7;0
2015;935,00;0;0;0;0;0
2015;936,00;0;0;0;0;0
2015;986,00;0;0;0;0;0
2015;987,00;546;139;686;23;0
2015;1021,00;0;0;0;0;0
2015;1085,00;0;0;0;0;0
2015;658,00;422;102;526;20;0
2015;353,00;0;0;0;0;0
2015;323,00;0;0;0;0;0
2015;620,00;358;79;444;20;0
2015;384,00;0;0;0;0;0
2015;554,00;829;214;1053;73;0
2015;209,00;0;0;0;0;0
2015;707,00;2785;604;3459;266;0
2015;395,00;0;0;0;0;0
2015;969,00;0;0;0;0;0
2015;1052,00;0;0;0;0;0
2015;739,00;3701;1358;5232;655;0
2015;613,00;730;281;1029;91;0
2015;593,00;0;0;0;0;0
2015;704,00;1013;293;1349;187;0
2015;493,00;0;0;0;0;0
2015;686,00;1113;347;1459;75;0
2015;257,00;1043;938;2047;178;0
2015;494,00;0;0;0;0;0
2015;681,00;0;0;0;0;0
2015;286,00;250;108;358;26;0
2015;255,00;253;102;355;25;0
2015;79,00;0;0;0;0;0
2015;81,00;0;0;0;0;0
2015;688,00;749;297;1059;53;0
2015;531,00;687;183;876;52;0
2015;514,00;149;96;246;11;0
2015;499,00;0;0;0;0;0
2015;532,00;523;203;733;48;0
2015;190,00;0;0;0;0;0
2015;598,00;270;82;351;23;0
2015;260,00;1991;1987;3973;329;0
2015;838,00;0;0;0;0;0
2015;839,00;0;0;0;0;0
2015;851,00;0;0;0;0;0
2015;852,00;1456;358;1823;97;0
2015;988,00;0;0;0;0;0
2015;1056,00;1387;264;1663;81;0
2015;1044,00;0;0;0;0;0
2015;1114,00;0;0;0;0;0
2015;644,00;1571;546;2171;189;1
2015;752,00;940;336;1314;146;0
2015;238,00;0;0;0;0;0
2015;325,00;0;0;0;0;0
2015;622,00;183;118;300;12;0
2015;879,00;0;0;0;0;0
2015;906,00;305;316;621;34;0
2015;370,00;0;0;0;0;0
2015;418,00;0;0;0;0;0
2015;574,00;0;0;0;0;0
2015;399,00;0;0;0;0;0
2015;195,00;0;0;0;0;0
2015;783,00;1991;306;2341;191;0
2015;263,00;0;0;0;0;0
2015;194,00;0;0;0;0;0
2015;785,00;4692;669;5488;480;1
2015;780,00;0;0;0;0;0
2015;782,00;0;0;0;0;0
2015;369,00;0;0;0;0;0
2015;84,00;0;0;0;0;0
2015;713,00;0;0;0;0;0
2015;941,00;0;0;0;0;0
2015;1091,00;0;0;0;0;0
2015;1045,00;255;112;375;20;0
2015;1086,00;966;404;1391;0;0
2015;937,00;694;219;913;42;0
2015;1004,00;0;1;1;0;0
2015;737,00;1731;465;2204;164;0
