"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2015;65,00;44;3865;5732;0;0;0;0;91;18659;0;0;0;0;0;5;3591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;140;26115;5732;0;0;0;0
2015;472,00;22;87;10;51;22;337;0;32;138;42;1132;20;874;0;1564;14571;2946;21761;474;13117;0;0;0;0;3;0;0;0;31;2006;567;0;0;30;0;10;55;0;140;5;260;0;2;3;0;20;1;171;0;16;151;0;79;4;176;0;"Otros";0;0;0;0;0;0;0;1677;17011;3565;23186;526;14965;0
2015;427,00;66;930;0;0;0;0;0;0;0;0;587;0;0;0;239;7904;2318;24350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;32;0;330;0;0;0;"Otros";0;0;0;0;0;0;0;306;8866;2318;25267;0;0;0
2015;491,00;3;7;0;5;0;93;0;20;38;0;96;1;605;0;1544;12459;562;20803;480;8227;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;11;40;0;275;2;258;0;0;0;0;0;0;0;0;8;51;0;53;0;119;0;"Otros";0;0;0;0;0;0;0;1587;12597;562;21232;483;9302;0
2015;551,00;9;25;0;53;0;230;0;39;173;20;734;1;753;0;904;5111;769;19848;129;12509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;33;1;360;0;225;0;8;16;0;8;0;0;0;2;21;0;12;0;23;0;"Otros";0;0;0;0;0;0;0;968;5379;790;21015;130;13740;0
2015;106,00;37;3557;0;0;0;0;0;0;0;0;0;0;0;0;375;35579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;412;39136;0;0;0;0;0
2015;819,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;43035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;111;43035;0;0;0;0;0
2015;836,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;4;6736;0;0;0;0;0
2015;915,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;518;32556;5796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;518;32556;5796;0;0;0;0
2015;942,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;20874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;86;20874;0;0;0;0;0
2015;748,00;6;17;0;36;0;181;0;133;1061;495;949;1;162;48;24726;162350;24566;459590;8174;100078;1612;0;0;0;56;0;0;0;4;35;0;61;0;13;0;18;148;0;31;2;653;0;61;417;0;103;1;281;5;108;523;0;102;0;1010;0;"Otros";0;0;0;14;0;0;0;25056;164551;25061;460942;8178;102378;1665
2015;198,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;619;30482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;619;30482;0;0;0;0;0
2015;871,00;1;5;0;1;0;29;0;9;41;0;4;0;82;0;3939;17789;1294;120396;2256;18340;702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;23;0;0;0;237;0;0;0;0;0;0;0;0;12;54;0;0;0;237;0;"Otros";0;0;0;0;0;0;0;3966;17912;1294;120401;2256;18925;702
2015;948,00;280;424;0;8578;283;270;0;2331;4973;0;46012;833;20236;0;1398;4002;0;6239;251;81;0;559;1577;0;7018;156;4317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;1153;0;10139;49;2079;0;"Otros";0;0;0;0;0;0;0;4662;12129;0;77986;1572;26983;0
2015;1051,00;12;35633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;12;35633;0;0;0;0;0
2015;1083,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;9403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;138;9403;0;0;0;0;0
2015;1096,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403;26094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;403;26094;0;0;0;0;0
2015;679,00;83;679;0;472;0;930;0;259;1595;0;1060;0;997;0;22477;205541;9480;434510;6501;89889;569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;773;0;1277;0;1313;0;0;0;0;0;0;0;0;106;1355;0;498;0;1418;0;"Otros";0;0;0;0;0;0;0;23013;209943;9480;437817;6501;94547;569
2015;176,00;201;11635;0;0;81;332;0;246;973;0;0;13;1955;0;853;2603;0;0;514;75;0;736;2730;0;0;145;6414;0;0;0;0;0;0;0;0;6;18;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;2042;17959;0;0;753;8781;0
2015;537,00;113;265;0;10146;180;192;0;44;203;0;870;24;823;0;532;1311;0;4186;865;44;0;892;2932;0;25222;686;7094;0;32;75;0;651;5;981;0;223;589;0;972;219;1110;0;0;0;0;0;0;0;0;92;343;0;7693;28;790;0;"Otros";0;0;0;0;0;0;0;1928;5718;0;49740;2007;11034;0
2015;608,00;17;61;0;242;0;197;0;0;0;0;0;0;0;0;5427;36276;3963;120048;1660;22634;258;13;120;0;30;0;166;0;0;0;0;0;0;0;0;33;87;0;291;0;412;0;0;0;0;0;0;0;0;43;317;0;144;0;341;0;"Otros";0;0;0;0;0;0;0;5533;36861;3963;120755;1660;23750;258
2015;596,00;5;24;0;28;0;50;0;14;89;0;21;0;94;0;4645;29696;4788;91719;1094;14635;0;0;0;0;;0;0;0;0;0;0;6;0;4;0;0;0;0;126;0;200;0;0;0;0;0;0;0;0;16;101;0;78;0;198;0;"Otros";7;38;0;26;0;100;0;4687;29948;4788;92004;1094;15281;0
2015;749,00;239;2319;0;3603;0;1910;0;27;147;0;599;0;284;0;30845;234510;39978;961745;7894;134274;0;31;257;0;474;0;90;0;0;0;0;0;0;0;0;23;188;0;1465;0;961;0;49;468;0;908;0;406;0;106;1042;0;7241;0;2613;0;"Otros";0;0;0;0;0;0;0;31320;238931;39978;976035;7894;140538;0
2015;758,00;300;2431;54;569;6;5592;0;40;335;6;108;2;498;0;43512;300967;56353;950320;12080;221854;256;51;797;4;608;1;133;0;1059;13284;593;2378;14;3707;0;68;833;4;593;1;1652;0;51;450;13;175;0;372;0;244;3195;0;444;5;3340;0;"Otros";0;0;0;0;0;0;0;45325;322292;57027;955195;12109;237148;256
