"año";"NCODI";"primDiges_hosp";"totDiges_hosp";"primDigestivo_CEP";"totDigestivo_CEP";"primCardio_hosp";"totCardio_hosp";"primCardio_CEP";"totCardio_CEP";"primDerma_hosp";"totDerma_hosp";"primDerma_CEP";"totDerma_CEP";"primNeurolog_hosp";"totNeurolog_hosp";"primNeurolog_CEP";"totNeurolog_CEP";"primPsquia_hosp";"totPsquia_hosp";"primPsquia_CEP";"totPsquia_CEP";"primRestoMed_hosp";"totRestoMed_hosp";"primRestoMed_CEP";"totRestoMed_CEP";"primCirGeneral_hosp";"totCirGeneral_hosp";"primCirGeneral_CEP";"totCirGeneral_CEP";"primTrauma_hosp";"totTrauma_hosp";"primTrauma_CEP";"totTrauma_CEP";"primGine_hosp";"totGine_hosp";"primGine_CEP";"totGine_CEP";"primOftalmo_hosp";"totOftalmo_hosp";"primOftalmo_CEP";"totOftalmo_CEP";"primOrl_hosp";"totOrl_hosp";"primOrl_CEP";"totOrl_CEP";"primUrolog_hosp";"totUrolog_hosp";"primUrolog_CEP";"totUrolog_CEP";"primRestoQuirurg_hosp";"totRestoQuirurg_hosp";"primRestoQuirurg_CEP";"totRestoQuirurg_CEP";"primPediatria_hosp";"totPediatria_hosp";"primPediatria_CEP";"totPediatria_CEP";"primPreAnest_hosp";"totPreAnest_hosp";"primPreAnest_CEP";"totPreAnest_CEP";"primRehabil_hosp";"totRehabil_hosp";"primRehabil_CEP";"totRehabil_CEP";"otrasTexto";"primOtrasConsul_hosp";"totOtrasConsul_hosp";"primOtrasConsul_CEP";"totOtrasConsul_CEP";"primTotal_hosp";"total_hosp";"primTotal_CEP";"total_CEP"
2015;194,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;785,00;905;14283;6328;17973;436;4756;6298;24736;1101;18275;26627;49047;1805;19976;7680;23946;614;4615;0;0;18007;132686;11059;44929;1969;17840;5816;10819;4825;43367;21610;55989;3532;35605;16107;51374;2560;37797;12912;44847;2327;17072;9987;25838;1207;13013;3537;10899;13452;46755;1751;2925;6545;51408;0;0;16515;17530;0;0;4526;21320;6618;17685;"Otros";3671;19229;0;0;83997;515527;136330;381007
2015;780,00;138;3067;2632;9360;0;0;1547;9956;0;0;0;0;0;0;0;0;0;0;0;0;1615;8734;1789;8606;342;5700;3431;5940;498;9641;10052;24402;0;0;0;0;270;16612;5039;17599;143;1427;6270;13667;109;1958;2431;9128;0;0;0;0;0;0;0;0;3535;3732;0;0;1831;4225;675;1881;"Otros";706;5533;0;0;9187;60629;33866;100539
2015;782,00;754;7522;2389;8332;982;7351;3630;11982;2762;13159;10248;14755;1995;8456;2528;7275;525;8987;0;0;8282;63571;3875;15477;1798;7547;3407;6859;4203;28598;14800;41259;1467;13897;7691;30942;2601;48548;6927;20081;1767;11569;5888;11530;1284;10590;2842;7802;1540;4738;0;0;0;0;0;0;9455;10034;0;0;1662;6048;604;1286;"Otros";1811;22556;0;0;42888;273171;64829;177580
2015;369,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1590;5093;14938;30420;"Otros";0;0;0;0;1590;5093;14938;30420
2015;84,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;713,00;143;335;0;0;1022;5191;0;0;603;1003;0;0;2186;6044;0;0;0;0;0;0;7954;17623;0;0;398;1143;0;0;8075;21970;0;0;304;587;0;0;4893;17566;0;0;4441;16126;0;0;1929;5112;0;0;5051;12109;0;0;0;0;0;0;1071;1071;0;0;6115;15320;0;0;"Otros";7173;7173;0;0;51358;128373;0;0
2015;941,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;1091,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;773;18796;559794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;17;773;18796;559794
2015;1045,00;2277;2686;0;0;1216;1914;0;0;3517;4170;0;0;1110;1404;0;0;767;1745;0;0;10829;15294;0;0;1165;2172;0;0;10329;16489;0;0;7273;11670;0;0;2418;4389;0;0;2903;3722;0;0;1906;2560;0;0;1601;2380;0;0;3880;4643;0;0;1838;1838;0;0;661;791;0;0;"Otros";0;0;0;0;53690;77867;0;0
