"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2015;1033,00;54161;8058;1696;138;64053
2015;1037,00;0;0;0;0;0
2015;1039,00;0;0;0;0;0
2015;1067,00;0;0;0;0;0
2015;1065,00;0;0;0;0;0
2015;1066,00;32407;1705;63;0;34175
2015;1100,00;0;0;0;0;0
2015;1105,00;0;0;0;0;0
2015;1107,00;0;0;0;0;0
2015;1111,00;0;0;0;0;0
2015;207,00;16546;651;81;0;17278
2015;431,00;0;0;0;0;0
2015;387,00;24535;3974;594;15;29118
2015;179,00;0;0;0;0;0
2015;606,00;22018;4263;479;16;26776
2015;925,00;105534;18600;184;60;124378
2015;541,00;12731;2533;430;31;15725
2015;797,00;18486;2613;314;16;21429
2015;627,00;32380;7410;326;43;40159
2015;173,00;0;0;0;0;0
2015;636,00;64645;11570;873;113;77201
2015;205,00;6304;308;290;0;6902
2015;814,00;36;36;0;0;72
2015;881,00;11644;488;236;0;12368
2015;771,00;116499;10491;1136;88;128214
2015;533,00;9533;594;0;0;10127
2015;447,00;6877;3006;97;7;9987
2015;815,00;428;8;34;0;470
2015;801,00;124904;13166;1278;163;139511
2015;800,00;1032;77;20;3;1132
2015;389,00;62818;5764;413;9;69004
2015;695,00;78304;9952;827;74;89157
2015;816,00;44557;4286;342;22;49207
2015;833,00;72214;4193;656;37;77100
2015;870,00;29084;1734;70;1;30889
2015;927,00;56993;770;41;21;57825
2015;961,00;156446;11731;1307;149;169633
2015;962,00;11969;532;3;0;12504
2015;1079,00;22580;21;9;0;22610
2015;1101,00;46568;2273;1;2;48844
2015;666,00;86393;14086;752;77;101308
2015;392,00;0;0;0;0;0
2015;790,00;12696;1884;140;9;14729
2015;650,00;31996;4527;446;38;37007
2015;876,00;46773;9683;721;59;57236
2015;944,00;0;54;0;0;54
2015;952,00;49861;1657;1657;3;53178
2015;54,00;0;0;0;0;0
2015;367,00;19912;629;212;1;20754
2015;538,00;45921;8464;408;104;54897
2015;557,00;26114;3117;177;17;29425
2015;653,00;38576;4774;519;64;43933
2015;647,00;29204;3793;524;57;33578
2015;978,00;76562;14188;4;41;90795
2015;996,00;31910;2630;413;51;35004
2015;729,00;180772;18348;3995;307;203422
2015;182,00;33928;811;256;7;35002
2015;633,00;26511;130;0;0;26641
2015;685,00;53254;8431;621;48;62354
2015;683,00;27420;3644;328;41;31433
2015;945,00;41300;2583;743;44;44670
2015;953,00;10912;9;0;0;10921
2015;1022,00;46634;539;2115;36;49324
2015;1049,00;20755;398;1520;27;22700
2015;794,00;132176;26599;1215;405;160395
2015;415,00;51;24;0;0;75
2015;592,00;36606;1730;26;0;38362
2015;497,00;9902;849;10;0;10761
2015;458,00;74825;4218;69;9;79121
2015;726,00;53158;10359;1513;143;65173
2015;272,00;15581;1081;271;2;16935
2015;805,00;124806;21351;44;174;146375
2015;5,00;0;0;0;0;0
2015;234,00;25671;856;328;4;26859
2015;64,00;0;0;0;0;0
2015;842,00;23956;3001;1336;22;28315
2015;843,00;13656;2376;664;31;16727
2015;803,00;44291;10009;130;39;54469
2015;211,00;5725;117;14;0;5856
2015;773,00;55980;10551;2306;106;68943
2015;424,00;17529;364;49;1;17943
2015;298,00;21156;2305;95;1;23557
2015;594,00;6352;294;10;1;6657
2015;237,00;15973;43;208;0;16224
2015;16,00;0;0;0;0;0
2015;768,00;10484;1133;381;5;12003
2015;617,00;64967;6221;585;132;71905
2015;297,00;9730;2369;162;0;12261
2015;105,00;0;0;0;0;0
2015;544,00;31072;1886;339;15;33312
2015;804,00;58254;4768;723;74;63819
2015;104,00;0;0;0;0;0
2015;20,00;0;0;0;0;0
2015;550,00;36850;2174;1009;42;40075
2015;112,00;0;0;0;0;0
2015;818,00;0;0;0;0;0
2015;882,00;0;0;0;0;0
2015;914,00;0;0;0;0;0
2015;928,00;0;0;0;0;0
2015;964,00;39034;6945;771;25;46775
2015;1026,00;0;0;0;0;0
2015;1068,00;0;0;0;0;0
2015;1108,00;22134;1405;453;5;23997
2015;404,00;451;0;6;0;457
2015;274,00;43104;1236;27;3;44370
2015;270,00;50898;2244;280;8;53430
2015;676,00;38312;3182;301;45;41840
2015;709,00;67641;5561;765;85;74052
2015;754,00;354248;30929;3660;454;389291
2015;997,00;52702;2620;2868;12;58202
2015;734,00;78349;12888;59;67;91363
2015;299,00;15668;380;12;2;16062
2015;645,00;0;0;0;0;0
2015;17,00;0;0;0;0;0
2015;1046,00;0;0;0;0;0
2015;420,00;2732;116;0;0;2848
2015;802,00;0;0;0;0;0
2015;266,00;21774;2207;0;0;23981
2015;137,00;9784;30;14;0;9828
2015;769,00;0;0;0;0;0
2015;776,00;37928;3273;529;15;41745
2015;640,00;35393;3231;679;14;39317
2015;315,00;0;0;0;0;0
2015;40,00;0;0;0;0;0
2015;508,00;13025;2612;426;3;16066
2015;46,00;0;0;0;0;0
2015;590,00;28522;4792;563;22;33899
2015;777,00;26787;3635;708;5;31135
2015;897,00;102434;29320;155;104;132013
2015;965,00;0;0;0;0;0
2015;461,00;3092;1588;13;0;4693
2015;376,00;13410;579;41;2;14032
2015;621,00;23017;3302;343;44;26706
2015;793,00;144222;21997;2052;199;168470
2015;1102,00;62262;666;40;0;62968
2015;712,00;26646;6768;206;32;33652
2015;32,00;0;0;0;0;0
2015;361,00;0;0;0;0;0
2015;486,00;8928;700;0;0;9628
2015;595,00;26311;4993;301;61;31666
2015;433,00;9910;1140;457;6;11513
2015;1058,00;653;462;195;3;1313
2015;261,00;18007;1012;220;0;19239
2015;730,00;66692;5387;939;65;73083
2015;577,00;34326;7271;758;47;42402
2015;788,00;125397;17147;2757;74;145375
2015;865,00;53828;3386;671;72;57957
2015;979,00;14974;686;1257;9;16926
2015;998,00;17733;209;870;6;18818
2015;221,00;2647;91;24;10;2772
2015;506,00;22066;795;250;2;23113
2015;727,00;45657;9724;485;57;55923
2015;355,00;152;152;6969;3;7276
2015;487,00;1760;302;55;1;2118
2015;938,00;98299;20711;5030;175;124215
2015;886,00;1651;1844;8;0;3503
2015;835,00;3457;103;0;0;3560
2015;999,00;0;0;0;0;0
2015;798,00;74004;14109;2926;228;91267
