"año";"NCODI";"pacienteTot_hospDom";"visitaTot_hospDom"
2015;356,00;0;0
2015;401,00;2;68
2015;733,00;0;0
2015;243,00;0;0
2015;380,00;0;0
2015;716,00;0;0
2015;534,00;0;0
2015;185,00;0;0
2015;258,00;0;0
2015;505,00;0;0
2015;268,00;0;0
2015;602,00;0;0
2015;254,00;0;0
2015;705,00;0;0
2015;133,00;0;0
2015;33,00;0;0
2015;143,00;0;0
2015;36,00;0;0
2015;756,00;0;0
2015;662,00;55;2272
2015;192,00;0;0
2015;382,00;0;0
2015;322,00;0;0
2015;478,00;0;0
2015;352,00;0;0
2015;628,00;0;0
2015;291,00;0;0
2015;495,00;0;0
2015;845,00;289;3978
2015;498,00;0;0
2015;314,00;0;0
2015;720,00;0;0
2015;721,00;0;0
2015;485,00;0;0
2015;273,00;0;0
2015;846,00;0;0
2015;847,00;0;0
2015;848,00;2;63
2015;916,00;0;0
2015;930,00;0;0
2015;954,00;0;0
2015;943,00;69;151
2015;949,00;292;2540
2015;980,00;0;0
2015;981,00;0;0
2015;1024,00;0;0
2015;1017,00;60;385
2015;1000,00;0;0
2015;1018,00;0;0
2015;1001,00;0;0
2015;1007,00;0;0
2015;1008,00;0;0
2015;1009,00;316;3582
2015;1010,00;0;0
2015;1011,00;0;0
2015;1012,00;0;0
2015;1013,00;0;0
2015;1041,00;0;0
2015;1073,00;526;6022
2015;1087,00;0;0
2015;1109,00;0;0
2015;1110,00;0;0
2015;1112,00;0;0
2015;789,00;0;0
2015;326,00;0;0
2015;442,00;0;0
2015;294,00;0;0
2015;378,00;0;0
2015;402,00;0;0
2015;29,00;0;0
2015;450,00;0;0
2015;656,00;0;0
2015;333,00;0;0
2015;668,00;0;0
2015;684,00;0;0
2015;422,00;0;0
2015;763,00;785;6066
2015;741,00;0;0
2015;553,00;0;0
2015;357,00;0;0
2015;899,00;0;0
2015;900,00;0;0
2015;932,00;0;0
2015;950,00;0;0
2015;966,00;0;0
2015;967,00;1126;3901
2015;982,00;0;0
2015;1014,00;0;0
2015;1048,00;0;0
2015;1080,00;0;0
2015;1074,00;0;0
2015;1084,00;0;0
2015;1113,00;0;0
2015;722,00;278;6915
2015;660,00;243;1626
2015;75,00;71;2113
2015;249,00;0;0
2015;275,00;0;0
2015;227,00;0;0
2015;150,00;0;0
2015;47,00;0;0
2015;172,00;0;0
2015;581,00;0;0
2015;120,00;0;0
2015;445,00;0;0
2015;471,00;0;0
2015;53,00;0;0
2015;199,00;0;0
2015;575,00;0;0
2015;528,00;0;0
2015;631,00;0;0
2015;699,00;0;0
2015;823,00;0;0
2015;849,00;0;0
2015;869,00;0;0
2015;955,00;0;0
2015;983,00;0;0
2015;1002,00;0;0
2015;1015,00;0;0
2015;51,00;0;0
2015;441,00;0;0
2015;327,00;0;0
2015;690,00;0;0
2015;262,00;0;0
2015;403,00;0;0
2015;312,00;0;0
2015;589,00;255;0
2015;665,00;574;5886
2015;334,00;0;0
2015;1075,00;903;8107
2015;751,00;1077;15101
2015;186,00;0;0
2015;646,00;35;320
2015;536,00;0;0
2015;242,00;0;0
2015;490,00;0;0
2015;500,00;0;0
2015;206,00;0;0
2015;58,00;0;0
2015;572,00;392;20016
2015;180,00;0;0
2015;549,00;0;0
2015;582,00;0;0
2015;743,00;478;8064
2015;795,00;0;0
2015;269,00;2;8
2015;634,00;0;0
2015;1,00;0;0
2015;717,00;0;0
2015;373,00;0;0
2015;535,00;0;0
2015;824,00;0;0
2015;888,00;0;0
2015;902,00;0;0
2015;968,00;0;0
2015;346,00;0;0
2015;27,00;0;0
2015;165,00;0;0
2015;956,00;150;1254
2015;413,00;0;0
2015;149,00;0;0
2015;612,00;0;0
2015;559,00;0;0
2015;7,00;0;0
2015;283,00;0;0
2015;37,00;0;0
2015;153,00;0;0
2015;547,00;165;2154
2015;397,00;0;0
2015;556,00;0;0
2015;42,00;0;0
2015;31,00;0;0
2015;740,00;157;2644
2015;217,00;0;0
2015;863,00;0;0
2015;889,00;624;9670
2015;984,00;0;0
2015;1106,00;0;0
2015;34,00;0;0
2015;791,00;0;0
2015;181,00;0;0
2015;430,00;0;0
2015;715,00;1142;9878
2015;521,00;0;0
2015;524,00;0;0
2015;432,00;0;0
2015;19,00;0;0
2015;25,00;0;0
2015;26,00;0;0
2015;890,00;457;4140
2015;904,00;247;1850
2015;957,00;700;11556
2015;939,00;0;0
2015;236,00;0;0
2015;735,00;311;3379
2015;146,00;0;0
2015;363,00;0;0
2015;187,00;0;0
2015;265,00;0;0
2015;295,00;0;0
2015;496,00;0;0
2015;77,00;0;0
2015;391,00;0;0
2015;240,00;0;0
2015;448,00;0;0
2015;151,00;0;0
2015;425,00;0;0
2015;300,00;11;31
2015;339,00;0;0
2015;826,00;0;0
2015;874,00;0;0
2015;905,00;156;2408
2015;736,00;1520;20372
2015;459,00;0;0
2015;320,00;0;0
2015;45,00;0;0
2015;618,00;236;21316
2015;463,00;0;0
2015;891,00;0;0
2015;958,00;0;0
2015;244,00;0;0
2015;28,00;0;0
2015;444,00;0;0
2015;479,00;0;0
2015;285,00;0;0
2015;253,00;0;0
2015;481,00;0;0
2015;540,00;1802;1802
2015;332,00;0;0
2015;41,00;0;0
2015;510,00;0;0
2015;305,00;0;0
2015;708,00;0;0
2015;755,00;2202;11294
2015;750,00;2241;7476
2015;696,00;0;0
2015;434,00;0;0
2015;421,00;0;0
2015;827,00;0;0
2015;933,00;0;0
2015;1030,00;0;0
2015;1003,00;0;0
2015;1050,00;0;0
2015;1043,00;0;0
2015;934,00;0;0
2015;629,00;915;11186
2015;21,00;0;0
2015;615,00;0;0
2015;626,00;0;0
2015;417,00;0;0
2015;597,00;0;0
2015;539,00;0;0
2015;343,00;0;0
2015;135,00;0;0
2015;158,00;0;0
2015;775,00;386;3081
2015;177,00;0;0
2015;578,00;0;0
2015;416,00;0;0
2015;561,00;311;1933
2015;62,00;0;0
2015;828,00;0;0
2015;860,00;0;0
2015;935,00;0;0
2015;936,00;0;0
2015;986,00;0;0
2015;987,00;0;0
2015;1021,00;0;0
2015;1085,00;0;0
2015;658,00;0;0
2015;353,00;0;0
2015;323,00;0;0
2015;620,00;263;2072
2015;384,00;0;0
2015;554,00;0;0
2015;209,00;0;0
2015;707,00;0;0
2015;395,00;0;0
2015;969,00;0;0
2015;1052,00;0;0
2015;739,00;5365;42826
2015;613,00;2090;17928
2015;593,00;1013;3662
2015;704,00;1431;14894
2015;493,00;0;0
2015;686,00;2038;16565
2015;257,00;0;0
2015;494,00;0;0
2015;681,00;550;29324
