"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2015;153,00;16972837;1207721;3031715;808453;2223262;11261864;1333739;137798;-85059;3963254;310958;3652296;6483377;5017405;21631;1399139;45202;1027539;441058;532670;29335676
2015;547,00;24483983;12547889;4951847;879201;4072646;1518321;3588972;1876954;-76912;1633710;844766;788944;61196281;48347380;0;12821627;27274;0;0;162539;87399601
2015;397,00;1101905;269740;321223;0;321223;0;178387;332555;0;228412;196130;32282;7673560;5916720;0;1756840;0;0;0;0;9003877
2015;556,00;13703778;6910716;3322499;562583;2759916;164822;1640292;1665449;0;1494186;663409;830777;41915432;33570399;0;8344077;956;0;0;125617;57239013
2015;42,00;236614;30088;6016;0;6016;0;116223;84287;2161;245147;49121;196026;1019837;751325;32928;232400;3184;68754;0;177691;1750204
2015;31,00;928155;73272;130968;0;130968;64900;196020;462995;-1251;534411;155206;379205;3648211;2845055;11267;783628;8261;308263;0;195922;5613711
2015;740,00;121734176;54752697;41095137;11682729;29412408;7764466;9675994;8445882;1957049;9776882;3125531;6651351;221594378;174164196;258766;46931596;239820;0;0;260328;355322813
2015;217,00;2873640;434622;1358482;175975;1182507;20611;955072;104853;-52972;4204431;215285;3989146;7239411;5568273;0;1669231;1907;813737;136255;5752841;20967343
2015;863,00;1237829;248774;561992;204924;357068;146257;258393;22413;-30222;1287303;122493;1164810;3017411;2306337;0;643727;67347;350183;60077;1569643;7492224
2015;889,00;119992571;52217086;37097293;10551693;26545600;14164489;9898937;6614766;-540255;9165668;2965065;6200603;168421785;133386532;0;34808166;227087;5814259;0;91969;302945997
2015;984,00;8834398;806440;2531578;1404752;1126826;0;5086687;409693;-89730;2431478;432451;1999027;8435187;6506460;34278;1838723;55726;2045542;915341;380996;22953212
2015;1106,00;1510557;87386;127673;61394;66279;0;1275822;19676;0;90454;66767;23687;756311;569743;13510;169582;3476;418216;0;0;2775538
2015;34,00;266142;21498;48430;0;48430;2491;51498;142225;0;236331;59590;176741;752735;569859;11151;168059;3666;41520;91;24301;1321120
2015;791,00;6134236;1574481;3032588;1977442;1055146;930679;499285;97203;-5119;2140160;426741;1713419;11923526;9814633;94755;1992627;21511;1110401;282516;763306;22349026
2015;181,00;6134236;1574481;3032588;1977442;1055146;930679;499285;97203;-5119;2140160;426741;1713419;11923526;9814633;94755;1992627;21511;1110401;282516;763306;22349026
2015;430,00;1207535;69392;560473;307243;253230;215803;246813;115054;-326;600578;64087;536491;2198129;1634078;41142;451264;71645;211985;0;0;4217901
2015;715,00;36623465;18084764;11704513;4624524;7079989;0;5244881;1589307;66480;5544388;1284863;4259525;61829211;48093396;807140;12353113;575562;2113928;1876879;69573;108123924
2015;521,00;1953762;297074;433764;250742;183022;1081630;30850;110444;13752;669332;100512;568820;3255139;2574054;0;680910;175;282706;199924;82086;6456701
2015;524,00;10065203;2189061;3491938;1756487;1735451;2722540;988263;673401;46931;2462975;630405;1832570;12158189;9268623;159038;2646588;83940;1088758;34911;497552;26354519
2015;432,00;758356;27120;137787;53564;84223;405581;151299;36569;4916;347906;45098;302808;1119302;868486;30118;219151;1547;181031;151975;25569;2589055
2015;19,00;137240;32611;51936;0;51936;0;17403;35290;10250;471718;46946;424772;376672;284328;2634;89710;0;76524;0;18330;1090734
2015;25,00;142627;19996;435;0;435;0;10247;111949;0;641210;21637;619573;648721;492558;0;151759;4404;9750;0;0;1442308
2015;26,00;593755;99868;65945;0;65945;199962;13730;214250;0;426271;79323;346948;1272919;980597;14268;274276;3778;75870;0;0;2368815
2015;890,00;68031351;31210816;21171918;9323269;11848649;2594830;9823044;3230743;0;5537609;3012261;2525348;118029508;95971410;4960;22044121;9017;0;0;4189003;195787471
2015;904,00;7195501;3321319;1935229;205323;1729906;999186;803506;136261;0;1020087;293637;726450;16441386;13420230;6329;3014827;0;0;0;7148;24664122
2015;539,00;55976569;25073014;10105572;4109385;5996187;9602608;11141637;53738;-348633;19875267;2850874;17024393;55847740;43511421;89915;11773093;473311;979628;343890;1576035;134250496
2015;343,00;5917852;704096;596875;129445;467430;3561473;945768;109640;0;796517;175397;621120;4348075;3371016;0;974661;2398;248852;235041;484738;12031075
2015;135,00;1346282;98863;39419;0;39419;99910;553941;554149;-2684;413461;153279;260182;4968774;3749380;24011;1183949;11434;158136;178331;280064;7342364
2015;158,00;5007786;1007525;230062;0;230062;220051;2195506;1354642;1269;3290760;722317;2568443;26212697;20421965;22504;5767083;1145;1014838;1682455;1906383;39116188
2015;775,00;23709419;11565552;5896654;1546528;4350126;1849726;3727796;669691;470100;2547031;747944;1799087;36622817;29920901;0;6538150;163766;983010;32924;1832756;66198057
2015;177,00;5315569;2135757;1253961;0;1253961;258844;1015951;651056;-19340;1102115;403407;698708;12028384;9514557;0;2668089;-154262;0;9073;54739;18490540
2015;578,00;5387784;232532;854307;402927;451380;3601154;524881;174910;-4025;414385;176789;237596;7061024;5560018;0;1441390;59616;368706;72713;217864;13518451
2015;416,00;1712034;148846;273075;0;273075;331801;479306;479006;-8152;3225145;175245;3049900;2950178;2290888;12113;622034;25143;678957;0;411710;8969872
2015;561,00;7259228;2886180;1475043;418032;1057011;218327;2421854;257824;0;2303914;423773;1880141;17917055;14417189;55439;3601597;-157170;35554;12345;165365;27693461
2015;62,00;585592;35023;75756;2;75754;0;443394;31419;0;202747;60364;142383;1517505;1195686;823;329807;-8811;582;682;9656;2316764
2015;828,00;494584;81069;51722;0;51722;6095;298719;56979;0;153622;72483;81139;1785920;1379037;0;398767;8116;62236;28443;80316;2605121
2015;860,00;6795417;1259615;1043629;290771;752858;2630452;1655190;206531;-5506;886644;354512;532132;8969310;7033928;0;1926465;8917;789195;79149;185519;17699728
2015;935,00;1035048;165305;111403;0;111403;235146;498242;24952;0;328876;41878;286998;2687429;2098098;29496;545140;14695;29205;0;27077;4107635
2015;936,00;158748;2715;6627;0;6627;12187;120318;16901;0;163299;31805;131494;325071;248505;2355;72494;1717;9659;1580;49628;707985
2015;986,00;762640;51524;12558;0;12558;9499;650999;38060;0;386940;72098;314842;1944774;1503165;1191;440342;76;46014;211270;104421;3456059
2015;987,00;10391818;759635;2168545;199817;1968728;2609171;4301938;552529;43442;1152335;492444;659891;14432022;11355683;0;3074404;1935;714568;0;539780;27273965
2015;1021,00;607055;48499;37800;0;37800;7795;468367;44594;0;474231;119650;354581;1465337;1122125;0;335782;7430;10291;26040;88818;2671772
2015;1085,00;581920;56841;90796;0;90796;0;239345;194938;0;468919;193805;275114;1832786;1446327;0;386459;0;1366;0;28810;2913801
