"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2014;3,00;0;44473;0;44473;0;44473
2014;306,00;0;0;0;0;0;0
2014;15,00;24;403587;230939;172648;30050;433661
2014;264,00;958;653069;0;653069;0;654027
2014;867,00;0;169781;0;169781;0;169781
2014;910,00;0;157268;0;157268;0;157268
2014;1053,00;0;0;0;0;393470;393470
2014;1055,00;0;536749;0;536749;0;536749
2014;1081,00;0;9015;0;9015;0;9015
2014;1099,00;0;0;0;0;0;0
2014;529,00;0;18325;0;18325;16500;34825
2014;345,00;0;25174;0;25174;19500;44674
2014;515,00;41775;115887;0;115887;0;157662
2014;174,00;0;153415;0;153415;0;153415
2014;523,00;25822;1001121;19408;981713;1919379;2946322
2014;697,00;15608;1935407;0;1935407;0;1951015
2014;239,00;58234;363930;0;363930;0;422164
2014;287,00;12196;258662;0;258662;-24228;246630
2014;377,00;0;0;0;0;7504;7504
2014;692,00;0;610808;0;610808;0;610808
2014;335,00;0;187114;1617;185497;12923;200037
2014;435,00;4400;1860628;0;1860628;75994;1941022
2014;423,00;613;357659;0;357659;3937;362209
2014;351,00;2119;171697;0;171697;0;173816
2014;810,00;263;153519;0;153519;1687;155469
2014;830,00;47505;1330712;0;1330712;0;1378217
2014;892,00;0;957424;0;957424;0;957424
2014;921,00;0;437901;0;437901;10562;448463
2014;991,00;0;20536;0;20536;0;20536
2014;992,00;0;204191;14064;190127;0;204191
2014;993,00;0;241870;0;241870;0;241870
2014;1070,00;0;1385392;0;1385392;0;1385392
2014;1095,00;63474;260312;0;260312;0;323786
2014;1094,00;21190;68226;0;68226;0;89416
2014;473,00;0;0;0;0;1;1
2014;663,00;421035;7728580;0;7728580;0;8149615
2014;552,00;30250;337271;0;337271;0;367521
2014;772,00;1984580;13026286;0;13026286;269245;15280111
2014;568,00;0;660635;0;660635;0;660635
2014;398,00;0;1238634;0;1238634;0;1238634
2014;394,00;0;350994;0;350994;0;350994
2014;614,00;0;28781;0;28781;0;28781
2014;235,00;0;1655756;0;1655756;0;1655756
2014;616,00;238945;630320;0;630320;0;869265
2014;267,00;41443;23402241;5916054;17486187;3921139;27364823
2014;565,00;0;1669717;0;1669717;0;1669717
2014;220,00;32562;500533;0;500533;0;533095
2014;278,00;0;1954243;0;1954243;0;1954243
