"año";"NCODI";"camas_instalada";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2014;302,00;60;2;2;3;0;60;2;2;3;0;0;0;0;0;0;1;1;1
2014;682,00;161;0;0;8;0;161;0;0;8;0;1;0;11;0;0;0;0;0
2014;279,00;181;20;5;9;1;181;20;5;9;1;4;0;10;0;0;0;10;3
2014;282,00;257;10;3;18;1;257;10;3;18;1;8;0;10;0;0;0;31;4
2014;281,00;289;8;5;10;1;273;8;4;10;1;3;0;10;0;0;0;15;0
2014;183,00;30;0;0;3;0;30;0;0;3;0;1;0;0;0;0;0;0;0
2014;610,00;43;0;0;5;0;43;0;0;5;0;1;0;0;0;0;0;19;0
2014;116,00;428;0;0;0;0;428;0;0;0;0;0;0;0;0;20;0;0;0
2014;115,00;50;0;0;0;0;50;0;0;0;0;1;0;0;0;0;0;0;0
2014;114,00;74;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0
2014;119,00;30;0;0;4;0;30;0;0;4;0;1;0;0;0;0;0;0;0
2014;770,00;585;11;3;21;1;539;11;3;21;1;16;0;31;18;0;0;8;5
2014;583,00;130;0;0;4;0;116;0;0;4;0;4;0;23;0;0;0;0;4
2014;136,00;209;0;0;0;0;166;0;0;0;0;1;0;0;0;50;0;0;0
2014;469,00;108;2;1;3;0;99;2;1;3;0;2;0;12;0;15;9;9;0
2014;642,00;202;2;3;5;0;202;2;3;5;0;5;0;7;0;20;0;0;0
2014;674,00;343;37;6;13;1;320;37;6;13;1;10;1;13;37;0;10;12;2
2014;193,00;155;0;0;0;0;155;0;0;0;0;1;0;0;0;17;0;0;0
2014;526,00;332;12;3;6;0;330;12;3;6;0;4;0;34;0;68;0;10;0
2014;698,00;778;0;0;27;2;612;0;0;27;2;10;0;19;10;0;0;24;0
2014;630,00;89;3;2;10;0;77;3;2;10;0;3;0;8;0;0;0;0;0
2014;124,00;140;0;0;0;0;130;0;0;0;0;0;0;0;0;30;0;0;0
2014;364,00;75;0;0;0;0;70;0;0;0;0;0;0;0;0;35;0;0;0
2014;439,00;56;4;2;5;0;56;4;2;5;0;2;0;4;0;0;0;0;1
2014;570,00;488;8;5;17;0;488;8;5;17;0;5;0;57;31;0;0;0;2
2014;123,00;189;0;0;0;0;179;0;0;0;0;0;0;0;0;58;0;0;0
2014;310,00;415;0;0;0;0;396;0;0;0;0;0;0;0;55;57;0;0;0
2014;571,00;127;2;2;5;0;127;2;2;5;0;3;0;16;0;0;0;1;1
2014;296,00;177;0;0;0;0;177;0;0;0;0;1;0;0;0;22;0;0;0
2014;566,00;155;4;3;7;0;118;2;3;7;0;3;0;20;20;0;11;0;0
2014;784,00;662;18;6;16;0;662;18;6;16;0;6;0;109;60;39;0;17;4
2014;102,00;731;0;0;0;0;731;0;0;0;0;1;0;0;15;20;0;0;0
2014;379,00;531;0;0;0;0;531;0;0;0;0;0;0;0;90;0;0;0;0
2014;639,00;221;1;4;5;0;152;1;4;5;0;5;0;6;0;0;0;8;0
2014;457,00;83;0;0;2;0;71;0;0;2;0;2;0;2;0;0;10;0;0
2014;609,00;309;10;2;13;2;280;10;2;13;2;8;0;9;10;0;9;0;0
2014;101,00;82;0;0;0;0;82;0;0;0;0;0;0;0;0;20;0;0;0
2014;454,00;231;2;1;5;0;228;2;1;5;0;3;0;17;0;0;0;4;1
2014;318,00;374;0;0;0;0;374;0;0;0;0;0;0;0;20;25;0;0;0
2014;600,00;165;2;5;8;0;116;2;5;8;0;5;0;20;0;0;0;16;0
2014;545,00;451;19;3;14;5;322;13;3;14;5;5;0;48;30;36;0;0;0
2014;100,00;78;0;0;0;0;75;0;0;0;0;0;0;0;0;35;0;0;0
2014;702,00;384;9;3;15;1;384;9;3;15;1;5;0;22;35;0;0;21;4
2014;778,00;222;3;5;15;0;191;3;5;15;0;4;0;58;22;0;0;22;3
2014;341,00;65;1;1;2;0;65;0;0;2;0;2;0;0;0;0;0;0;0
2014;99,00;125;0;0;0;0;100;0;0;0;0;0;0;0;0;50;0;0;0
2014;767,00;117;0;0;5;0;91;0;0;5;0;6;0;8;0;0;0;0;0
2014;359,00;110;0;0;2;0;110;0;0;2;0;2;0;0;0;30;4;8;2
2014;98,00;114;0;0;0;0;114;0;0;0;0;0;0;0;0;25;0;0;0
2014;132,00;125;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0
2014;97,00;122;0;0;0;0;120;0;0;0;0;0;0;0;0;30;0;0;0
2014;103,00;42;0;0;0;0;41;0;0;0;0;0;0;0;0;20;0;0;0
2014;110,00;60;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0
2014;94,00;30;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
2014;91,00;60;0;0;0;0;60;0;0;0;0;0;0;0;0;18;0;0;0
2014;664,00;342;4;2;12;0;300;4;2;12;0;8;0;55;25;0;17;0;0
2014;918,00;1132;45;6;39;3;1072;45;6;39;3;11;0;137;0;0;0;0;6
2014;92,00;56;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0
2014;95,00;165;0;0;0;0;165;0;0;0;0;0;0;0;0;24;0;0;0
2014;96,00;80;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0
2014;301,00;20;0;0;4;0;20;0;0;4;0;1;0;0;0;0;0;0;0
2014;492,00;133;2;1;5;0;123;2;1;5;0;3;0;17;0;0;0;11;1
2014;811,00;67;0;1;1;0;67;0;1;1;0;1;0;0;0;0;0;0;0
2014;812,00;89;0;0;1;0;89;0;0;1;0;0;0;38;0;0;0;0;0
2014;832,00;20;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0
2014;841,00;12;0;0;0;0;12;0;0;0;0;0;0;0;0;25;0;0;0
2014;856,00;81;0;0;0;0;81;0;0;0;0;0;0;0;0;30;0;0;0
2014;859,00;85;0;0;0;0;85;0;0;0;0;0;0;0;25;0;0;0;0
2014;861,00;40;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
2014;880,00;94;0;0;0;0;93;0;0;0;0;0;0;0;0;40;0;0;0
2014;883,00;21;0;0;0;0;21;0;0;0;0;0;0;0;21;0;0;0;0
2014;884,00;141;0;0;0;0;104;0;0;0;0;0;0;0;0;30;0;0;0
2014;877,00;38;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0
2014;911,00;354;0;0;0;0;354;0;0;0;0;0;0;0;0;27;0;0;0
2014;913,00;28;0;0;0;0;28;0;0;0;0;0;0;0;20;0;0;0;0
2014;922,00;58;5;3;7;0;58;5;3;7;0;2;0;0;0;0;0;0;0
2014;923,00;84;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0
2014;924,00;47;0;0;0;0;47;0;0;0;0;0;0;28;0;0;0;0;0
2014;947,00;26;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0
2014;951,00;56;0;0;0;0;50;0;0;0;0;0;0;0;0;22;0;0;0
2014;1103,00;121;0;0;0;0;121;0;0;0;0;0;0;0;0;30;0;0;0
2014;972,00;28;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0
2014;973,00;51;0;0;2;1;30;0;0;2;1;2;0;0;0;0;10;5;2
2014;974,00;155;0;0;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0
2014;975,00;101;0;0;0;0;101;0;0;0;0;0;0;0;0;25;0;0;0
2014;960,00;191;0;0;0;0;191;0;0;0;0;0;0;0;0;40;0;0;0
2014;1028,00;18;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0
2014;976,00;137;0;0;0;0;126;0;0;0;0;0;0;0;0;35;0;0;0
2014;977,00;174;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0
2014;1020,00;22;0;0;0;0;22;0;0;0;0;0;0;0;15;0;0;0;0
2014;994,00;245;6;3;5;0;245;6;3;5;0;6;0;23;0;0;0;30;0
2014;995,00;84;0;0;0;0;76;0;0;0;0;0;0;0;0;30;0;0;0
2014;1060,00;25;0;0;0;0;25;0;0;0;0;0;0;0;35;0;0;0;0
2014;1005,00;75;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0
2014;1061,00;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
2014;1006,00;52;0;0;0;0;52;0;0;0;0;0;0;0;20;0;0;0;0
2014;1088,00;10;0;0;5;0;5;0;0;3;0;0;0;0;0;0;0;3;3
2014;1089,00;106;1;0;9;0;54;0;0;6;0;3;0;0;0;0;8;0;0
2014;1076,00;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
2014;1078,00;49;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0
2014;1033,00;358;0;0;12;0;316;0;0;12;0;3;0;47;0;0;0;0;0
2014;1037,00;35;0;0;0;0;35;0;0;0;0;0;0;0;30;0;0;0;0
2014;1039,00;50;0;0;0;0;50;0;0;0;0;0;0;0;40;0;0;0;0
2014;1067,00;220;0;0;0;0;189;0;0;0;0;0;0;0;0;46;0;0;0
2014;1065,00;228;0;0;0;0;228;0;0;0;0;1;0;0;0;0;0;0;0
2014;1066,00;86;4;3;6;0;86;4;3;6;0;2;0;6;0;0;0;12;0
2014;1100,00;99;0;0;0;0;64;0;0;0;0;2;0;0;0;23;0;0;0
2014;1105,00;245;0;0;0;0;245;0;0;0;0;0;0;0;0;0;0;0;0
2014;1107,00;17;0;0;3;0;17;0;0;3;0;0;0;0;0;0;0;0;3
2014;207,00;116;1;1;7;0;92;1;1;7;0;4;0;8;0;0;0;0;0
2014;431,00;156;0;0;0;0;156;0;0;0;0;1;0;0;0;0;0;0;0
2014;387,00;123;4;2;3;0;110;2;2;3;0;3;0;6;0;0;1;0;0
2014;179,00;75;0;0;0;0;75;0;0;0;0;1;0;0;0;0;0;0;0
2014;606,00;114;3;2;3;0;106;3;2;3;0;4;1;16;0;0;0;0;0
2014;925,00;865;28;8;24;1;809;28;8;19;1;15;0;58;49;0;35;0;0
2014;541,00;107;6;2;4;0;103;6;2;4;0;3;0;1;0;0;0;0;0
2014;797,00;102;2;2;5;0;102;2;2;5;0;4;0;4;0;0;0;9;0
2014;627,00;250;6;2;6;0;231;5;2;6;0;3;3;16;0;0;0;6;0
2014;173,00;330;0;0;0;0;330;0;0;0;0;0;0;0;4;0;0;0;0
2014;636,00;520;20;3;17;2;471;20;3;17;2;11;0;22;0;18;0;17;3
2014;205,00;33;0;0;3;0;33;0;0;3;0;1;0;0;0;0;0;0;0
2014;814,00;20;0;0;1;0;20;0;0;1;0;1;0;0;0;0;1;0;1
2014;881,00;34;2;1;3;1;34;2;1;3;1;1;0;0;0;0;0;0;0
2014;771,00;642;46;2;18;2;636;46;2;18;2;11;3;15;0;0;22;0;0
2014;533,00;37;3;1;1;1;33;3;1;1;1;1;0;1;0;0;4;0;1
2014;447,00;380;4;1;7;0;190;2;1;7;0;2;0;8;0;0;0;0;1
2014;815,00;14;0;1;3;0;14;0;0;3;0;1;0;0;0;0;0;0;0
2014;801,00;443;21;2;12;1;443;21;2;12;1;6;2;25;0;0;2;15;12
2014;800,00;115;0;0;2;0;97;0;0;2;0;1;0;0;0;0;0;0;1
2014;389,00;290;3;2;4;0;290;3;2;4;0;2;0;0;0;0;0;8;1
2014;695,00;411;10;3;8;1;275;10;3;8;1;7;2;36;0;0;4;12;3
2014;816,00;126;2;1;4;0;94;1;1;4;0;1;0;7;0;0;0;10;2
2014;833,00;110;2;1;5;0;110;2;1;5;0;3;0;5;0;0;9;10;1
2014;870,00;94;2;2;6;1;60;1;2;6;1;2;0;1;0;0;0;0;0
2014;927,00;51;1;1;2;0;45;0;1;2;0;1;0;1;0;0;0;0;1
2014;961,00;436;12;3;12;0;447;12;3;12;0;9;4;38;0;0;8;16;0
2014;962,00;40;1;1;2;1;26;0;0;2;1;1;0;2;0;0;2;0;2
2014;1079,00;40;2;1;2;1;40;2;1;2;1;1;0;0;0;0;0;0;0
2014;1101,00;35;3;1;3;0;35;3;1;3;0;1;0;2;0;0;7;0;0
2014;666,00;580;25;2;16;1;553;25;2;16;1;5;5;12;0;0;0;30;0
2014;392,00;130;0;0;0;0;98;0;0;0;0;2;0;0;0;0;0;0;0
2014;790,00;257;0;0;8;0;253;0;0;8;0;4;0;36;95;0;6;0;0
2014;650,00;152;2;2;5;0;152;2;2;5;0;3;0;14;0;0;0;8;0
2014;876,00;258;9;2;10;0;241;8;2;10;0;5;0;17;0;0;0;0;0
2014;944,00;28;0;0;4;0;15;0;0;4;0;2;0;0;0;0;0;0;0
2014;952,00;96;12;2;10;0;90;12;2;10;0;3;0;5;0;0;0;0;1
2014;54,00;95;0;0;0;0;95;0;0;0;0;0;0;0;30;0;0;0;0
2014;367,00;55;0;0;4;0;17;0;0;3;0;2;0;1;0;0;0;6;0
2014;538,00;339;8;2;10;0;245;8;2;8;0;6;1;22;12;0;0;19;3
2014;557,00;118;3;2;5;0;77;3;2;4;0;2;0;13;0;0;0;6;0
2014;653,00;139;5;2;5;0;132;2;2;4;0;5;2;14;0;0;6;0;0
2014;647,00;103;2;2;6;0;66;2;2;4;0;8;0;2;0;0;0;6;0
2014;978,00;564;23;2;13;1;513;22;2;13;1;14;1;18;20;0;0;23;0
2014;996,00;155;2;1;4;0;65;2;1;4;0;3;0;10;0;0;0;12;2
2014;729,00;1187;40;8;35;4;1062;35;8;35;4;19;1;72;80;0;32;0;5
2014;182,00;138;5;1;7;0;138;5;1;7;0;3;0;0;0;0;0;9;1
2014;633,00;169;0;0;8;1;105;0;0;7;1;2;0;0;0;0;0;24;0
2014;685,00;240;9;3;6;0;225;9;3;6;0;3;0;12;20;0;12;0;0
2014;683,00;148;6;3;5;0;145;6;3;5;0;3;0;4;0;0;4;0;0
2014;945,00;77;4;2;4;0;68;3;2;4;0;1;0;0;0;0;0;8;0
2014;953,00;4;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0
2014;1022,00;24;0;0;2;0;22;0;0;2;0;2;0;0;0;0;0;0;0
2014;1049,00;32;0;0;2;0;6;0;0;1;0;1;0;0;0;0;0;0;0
2014;794,00;1346;21;3;30;3;1346;21;3;30;3;13;5;87;25;0;30;0;0
2014;415,00;56;0;0;4;0;56;0;0;4;0;1;0;24;0;0;0;0;0
2014;592,00;105;0;1;6;0;96;0;1;6;0;2;0;0;0;0;0;0;0
2014;497,00;120;0;0;5;1;120;0;0;5;1;2;0;0;0;0;0;0;0
2014;458,00;144;9;2;9;1;144;9;2;9;1;4;0;0;0;0;0;0;0
2014;726,00;435;16;2;12;0;398;16;2;12;0;9;1;28;15;0;0;8;4
2014;272,00;194;0;0;4;0;143;0;0;4;0;3;0;0;0;0;0;0;0
2014;805,00;1395;33;3;30;2;1270;33;3;30;2;16;1;35;50;0;0;0;4
2014;5,00;50;0;0;8;0;39;0;0;8;0;2;0;5;0;0;10;0;0
2014;234,00;91;6;1;6;0;91;2;1;6;0;1;0;5;0;0;0;0;0
2014;64,00;98;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0
2014;842,00;81;0;1;4;0;81;0;1;4;0;3;0;0;0;0;9;0;0
2014;843,00;78;2;1;3;0;78;2;1;3;0;4;0;4;0;0;3;4;0
2014;803,00;436;10;2;10;0;307;6;2;9;0;6;2;23;10;0;14;0;0
2014;211,00;60;0;0;3;0;60;0;0;3;0;2;0;0;0;0;0;0;0
2014;773,00;364;26;3;11;1;324;26;3;11;1;3;0;21;0;0;0;0;1
2014;424,00;45;2;1;3;0;45;2;1;3;0;1;0;6;0;0;6;4;1
2014;298,00;114;4;1;7;1;114;4;1;7;1;6;0;0;0;0;10;0;0
2014;594,00;28;1;0;3;0;19;0;0;3;0;1;0;0;0;0;14;14;2
2014;237,00;101;0;0;3;0;101;0;0;3;0;0;0;0;0;25;0;0;0
2014;16,00;23;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0
2014;768,00;80;1;1;2;0;72;1;1;2;0;2;0;6;0;25;5;0;0
2014;617,00;152;3;5;6;0;145;3;5;5;0;3;0;10;0;0;0;15;0
2014;297,00;42;1;1;3;0;42;1;1;3;0;1;0;0;0;0;0;0;0
2014;105,00;63;0;0;0;0;63;0;0;0;0;0;0;0;0;10;0;0;0
2014;544,00;136;1;3;3;0;136;1;3;3;0;3;0;0;0;17;20;0;0
2014;804,00;142;2;4;5;0;114;2;4;5;0;3;0;11;0;0;15;0;0
2014;470,00;81;4;1;2;1;81;4;1;2;1;2;0;2;0;60;0;0;0
2014;104,00;114;0;0;0;0;114;0;0;0;0;0;0;0;50;0;0;0;0
2014;20,00;55;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0
2014;550,00;76;0;0;4;0;76;0;0;4;0;6;0;4;0;0;0;6;0
2014;112,00;24;0;0;0;0;24;0;0;0;0;0;0;0;0;25;0;0;0
2014;818,00;105;0;0;0;0;105;0;0;0;0;0;0;0;0;19;0;0;0
2014;914,00;123;0;0;0;0;123;0;0;0;0;0;0;0;0;40;0;0;0
2014;928,00;36;0;0;0;0;36;0;0;0;0;0;0;25;0;0;0;0;0
2014;964,00;264;4;3;5;0;216;4;3;5;0;3;0;26;0;0;6;0;0
2014;1026,00;100;0;0;0;0;100;0;0;0;0;0;0;0;0;20;0;0;0
2014;1068,00;160;0;0;0;0;80;0;0;0;0;0;0;0;0;32;0;0;0
2014;1108,00;64;2;2;4;0;44;2;2;4;0;3;0;5;0;0;5;0;0
2014;738,00;496;18;6;21;1;462;18;6;21;1;9;3;82;0;0;55;0;6
2014;404,00;133;0;0;2;0;133;0;0;2;0;1;0;0;0;0;0;7;2
2014;274,00;77;1;1;6;1;77;1;1;6;1;5;0;5;10;0;0;0;0
