"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2014;1021,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1085,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;658,00;5848;0;2;0;0;0;0;0;0;1918;0;0;0;2997;0;55668;0;0;0;5713;0;1162;57;0
2014;353,00;0;0;0;0;0;0;0;0;0;24453;0;0;0;0;0;16423;0;0;0;0;0;0;0;0
2014;323,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;620,00;3190;0;4;0;0;0;0;0;0;1879;0;0;0;0;0;39064;0;0;0;3861;0;952;68;0
2014;384,00;0;0;0;0;0;0;0;0;0;0;0;0;0;3727;0;11878;0;0;0;0;0;0;31;0
2014;554,00;10110;0;2;0;0;2463;0;0;0;3055;0;0;0;5786;0;117079;0;0;0;14951;0;2735;366;185
2014;209,00;946;0;0;0;0;236;0;0;0;917;0;0;0;2289;0;23392;0;0;0;1336;0;635;0;0
2014;707,00;36355;0;34;104;0;0;0;0;0;23887;0;0;0;17420;0;141010;53002;0;0;29009;634;5542;572;237
2014;395,00;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7963;0;0;0;0;0;0;0;0
2014;969,00;3471;0;0;0;0;1769;0;0;0;1079;0;0;0;3767;0;22003;0;166;0;2411;0;933;0;0
2014;1052,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;739,00;32020;0;89;6925;0;6654;0;7579;0;10693;0;3214;0;32991;0;199952;51861;722;0;35891;0;3581;1270;249
2014;613,00;23988;0;57;1307;0;0;4668;4635;0;9617;0;0;0;6291;0;11483;42884;0;0;23257;0;3189;462;136
2014;593,00;17267;0;4;0;0;0;4737;0;0;3104;0;0;0;7982;0;94771;49467;0;0;14648;0;3742;358;116
2014;704,00;31623;0;59;1430;0;0;0;4464;0;8230;0;0;0;18938;0;147432;29661;0;0;29360;0;3870;1915;311
2014;493,00;0;0;0;0;0;14700;0;0;0;0;0;0;0;0;0;8821;0;0;0;1614;0;0;0;0
2014;686,00;25331;0;40;1769;0;5927;0;2240;0;5195;0;1813;0;23320;0;190719;0;290;0;22653;0;3901;523;242
2014;257,00;7891;0;0;33;0;2956;0;1500;0;5474;0;800;0;10717;0;82295;0;0;0;4520;0;1015;29;25
2014;494,00;263;0;5;0;0;0;0;0;0;46;0;0;0;0;0;1104;0;0;0;31;0;382;0;0
2014;681,00;25036;0;4;0;0;2574;0;2565;0;10158;0;599;0;3976;0;10224;0;0;0;25594;0;2064;81;0
2014;286,00;14746;0;0;0;0;1681;0;0;0;14437;0;0;0;6283;0;32885;0;0;0;3832;0;2056;10;23
2014;255,00;6390;0;0;0;0;2748;0;0;0;4538;0;0;0;16337;0;79722;0;0;0;8091;0;1558;182;19
2014;79,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;81,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;688,00;12767;0;6;0;0;0;0;0;0;5020;0;0;0;6086;0;96318;0;0;0;10785;0;2021;121;132
2014;531,00;14669;0;10;0;0;0;4236;0;0;3979;0;0;0;10897;0;71033;31074;0;0;9691;0;2176;1791;109
2014;514,00;0;0;0;0;0;0;0;0;0;902;0;0;0;0;0;30433;0;0;0;2314;0;0;0;0
2014;499,00;96;0;0;0;0;0;0;0;0;0;0;0;0;8018;0;24093;0;0;0;4621;0;0;0;0
2014;532,00;9365;3490;8;0;0;1705;237;0;0;1961;176;0;0;8056;0;49138;30079;0;0;9197;0;2564;224;91
2014;190,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5387;0;0;0;0;0;0;0;0
