"año";"NCODI";"70_tIngresos";"700_particular";"701_AsegPriv";"701_1_AsistSanitaria";"701_2_AccTrafic";"702_MATEPSS";"704_SNS";"705_1_FdirectaSS";"705_2_FdirectaAPriv_MATEPSS";"706_OyEntiPublica";"708_bonificaciones";"709_Otros_Ips";"74_Total_Subvencion";"740_subvenciones";"741_otraSubvencion";"7X_restoIngresos";"total_ventasIngresos";"70_Hospital";"70_consulExter";"70_CMA";"70_hospDia";"70_Urgencia";"70_hospDom";"700_Hospital";"700_consulExter";"700_CMA";"700_hospDia";"700_Urgencia";"700_hospDom";"701_Hospital";"701_consulExter";"701_CMA";"701_hospDia";"701_Urgencia";"701_hospDom";"701_1Hospital";"701_1consulExter";"701_1CMA";"701_1hospDia";"701_1Urgencia";"701_1hospDom";"701_2Hospital";"701_2consulExter";"701_2CMA";"701_2hospDia";"701_2Urgencia";"701_2hospDom";"702_Hospital";"702_consulExter";"702_CMA";"702_hospDia";"702_Urgencia";"702_hospDom";"704_Hospital";"704_consulExter";"704_CMA";"704_hospDia";"704_Urgencia";"704_hospDom";"705_1Hospital";"705_1consulExter";"705_1CMA";"705_1hospDia";"705_1Urgencia";"705_1hospDom";"705_2Hospital";"705_2consulExter";"705_2CMA";"705_2hospDia";"705_2Urgencia";"705_2hospDom";"706_Hospital";"706_consulExter";"706_CMA";"706_hospDia";"706_Urgencia";"706_hospDom";"708_Hospital";"708_consulExter";"708_CMA";"708_hospDia";"708_Urgencia";"708_hospDom"
2011;578,00;11203885;466072;6627740;6532219;95521;270069;0;2502743;0;0;0;1337261;12456;0;12456;50016;11266357;5656471;2236807;0;0;1165438;0;164132;268029;0;0;5697;0;3602736;1685067;0;0;730205;0;3578987;1630357;0;0;729024;0;23749;54710;0;0;1181;0;58345;54542;0;0;155830;0;0;0;0;0;0;0;1831258;229169;0;0;273706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;416,00;9599117;114018;5109652;5068535;41117;77011;0;4298436;0;0;0;0;0;0;0;131926;9731043;5423828;2415259;0;0;1760030;0;5402;99557;0;0;9059;0;1119328;2272450;0;0;1717874;0;1110933;2246342;0;0;1711260;0;8395;26108;0;0;6614;0;662;43252;0;0;33097;0;0;0;0;0;0;0;4298436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;561,00;28861566;75713;801456;572644;228812;78185;19144;27797290;0;0;0;89778;47154;27568;19586;2677208;31585928;12664610;10048355;515095;1880830;3622696;0;26358;44724;0;0;4629;0;206365;435308;2523;0;156823;0;167380;299162;2523;0;103212;0;38985;136146;0;0;53611;0;4829;5652;0;0;67694;0;12052;541;0;0;6503;0;12415006;9562130;512572;1880830;3387047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;828,00;2245112;447019;0;0;0;0;0;1798093;0;0;0;0;809174;809174;0;300245;3354531;2245112;0;0;0;0;0;447019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1798093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;860,00;16729869;59539;1650757;1570007;80750;48020;0;14518790;0;0;0;452763;81798;81798;0;719883;17531550;9773932;2779326;1638613;0;2085235;0;30286;9983;18551;0;719;0;1262172;171722;16369;0;200494;0;1227973;145726;15823;0;180485;0;34199;25996;546;0;20009;0;14543;5640;5456;0;22381;0;0;0;0;0;0;0;8466931;2591981;1598237;0;1861641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;935,00;4057417;0;0;0;0;0;0;4057417;0;0;0;0;0;0;0;0;4057417;3842181;0;0;215236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3842181;0;0;215236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;936,00;631640;0;0;0;0;0;0;631640;0;0;0;0;0;0;0;0;631640;631640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;631640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;986,00;6035224;0;4950;4950;0;0;0;6003961;0;0;0;26313;66784;64224;2560;305900;6407908;5469182;0;0;419844;119885;0;0;0;0;0;0;0;4950;0;0;0;0;0;4950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5464232;0;0;419844;119885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;987,00;28870221;0;1406573;1308338;98235;8963;0;26946288;0;0;508397;0;0;0;0;0;28870221;15996329;5767082;192568;508397;6405845;0;0;0;0;0;0;0;537798;388562;0;0;480213;0;439563;388562;0;0;480213;0;98235;0;0;0;0;0;8963;0;0;0;0;0;0;0;0;0;0;0;15449568;5378520;192568;0;5925632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;508397;0;0
2011;1021,00;2849741;298302;0;0;0;0;0;695662;0;0;0;1855777;0;0;0;90189;2939930;993964;0;0;0;0;0;298302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;695662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;658,00;60755182;964439;1749203;1449715;299488;179689;95314;57337890;0;297179;0;131468;0;0;0;0;60755182;776069;78786;9023;14666;279943;163299;571622;59303;6812;12122;151183;163299;65179;300;0;0;71621;0;0;0;0;0;0;0;65179;300;0;0;71621;0;30074;3725;1334;1667;52282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109194;15458;877;877;4857;0;0;0;0;0;0;0
2011;353,00;6100969;0;0;0;0;210878;25238;5716697;145273;2526;0;357;0;0;0;0;6100969;118616;14196;0;14987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118616;11670;0;14987;0;0;0;2526;0;0;0;0;0;0;0;0;0;0
2011;323,00;6265430;514775;6786;6786;0;0;0;5728904;0;12929;2036;0;0;0;0;0;6265430;6265430;0;0;0;0;0;514775;0;0;0;0;0;6786;0;0;0;0;0;6786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5728904;0;0;0;0;0;0;0;0;0;0;0;12929;0;0;0;0;0;2036;0;0;0;0;0
2011;620,00;61434222;34007;293231;66603;226628;460224;40109;60417586;0;189065;0;0;0;0;0;13345;61447567;144547;118471;0;0;145429;0;1727;4650;0;0;18077;0;46975;6229;0;0;64894;0;6619;4013;0;0;19352;0;40356;2216;0;0;45542;0;1151;7660;0;0;27910;0;19281;13330;0;0;7498;0;0;0;0;0;0;0;0;0;0;0;0;0;75413;86602;0;0;27050;0;0;0;0;0;0;0
2011;384,00;41189111;0;5204287;17799;5186488;3794751;1631823;30367220;0;191030;0;0;16500;16500;0;0;41205611;5731754;50776;0;0;0;0;0;0;0;0;0;0;2591071;862;0;0;0;0;13838;217;0;0;0;0;2577233;645;0;0;0;0;1487914;46457;0;0;0;0;1461739;3457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191030;0;0;0;0;0;0;0;0;0;0;0
2011;484,00;12560137;172000;15485;15485;0;0;12372652;0;0;0;0;0;17373951;9299489;8074462;0;29934088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;554,00;112244809;591742;533934;79130;454804;100293;0;111018840;0;0;0;0;0;0;0;123578;112368387;851259;11834;0;0;400787;0;114643;2084;0;0;29956;0;705310;7091;0;0;307660;0;482950;7091;0;0;88042;0;222360;0;0;0;219618;0;31306;2659;0;0;63171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;209,00;4822885;296065;3302938;3302938;0;76124;1152676;0;0;0;-4918;0;0;0;0;99397;4922282;1699919;24157;33040;0;865336;0;40617;2310;13063;0;16724;0;944597;643;19977;0;789082;0;944597;643;19977;0;789082;0;0;0;0;0;0;0;16594;0;0;0;59530;0;698111;21204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
