"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2011;697,00;334;639;23;761;132;512;0;14199;40184;2081;74547;498;71601;0;0;0;0;2289;0;0;0;1307;5067;294;7729;232;5325;0;0;0;0;0;0;0;0;62;186;0;181;5;796;0;0;0;0;0;0;0;0;95;263;0;3951;2;1451;0;"Otros";0;0;0;0;0;0;0;15997;46339;2398;89458;869;79685;0
2011;239,00;802;2256;59;13923;69;2212;0;8477;35081;614;109961;170;35276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;491;0;633;3;977;0;0;0;0;0;0;0;0;284;1866;1;6110;1;2909;0;"Otros";0;0;0;0;0;0;0;9720;39694;674;130627;243;41374;0
2011;287,00;568;1393;0;8018;130;2296;0;8472;20778;0;119662;1935;34274;0;1378;3380;0;19464;315;5575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236;579;0;3331;54;954;0;284;696;0;4010;65;1148;0;462;1132;0;6520;105;1868;0;"Otros";0;0;0;0;0;0;0;11400;27958;0;161005;2604;46115;0
2011;377,00;0;0;0;0;0;0;0;1;48;0;0;0;0;0;1118;28252;0;2310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1119;28300;0;2310;0;0;0
2011;692,00;291;1302;0;34;0;3798;0;0;0;0;0;0;0;0;8684;51167;5785;146319;2002;42583;398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;96;0;33;0;801;0;167;806;0;185;0;2080;0;73;349;0;72;0;1363;0;"Otros";7;68;0;34;0;11;0;9240;53788;5785;146677;2002;50636;398
2011;335,00;54;42991;0;0;0;0;0;0;0;0;0;0;0;0;27;3529;0;0;0;0;0;0;0;0;0;0;0;0;1;1908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;82;48428;0;0;0;0;0
2011;435,00;691;2319;0;2698;0;1924;0;1117;4239;0;38620;36;9227;0;209;427;0;2;0;3;0;176;825;0;6842;0;974;0;0;0;0;0;0;0;0;94;344;0;3444;0;1130;0;0;0;0;0;0;0;0;147;1209;0;3839;0;970;0;"Otros";22;81;0;174;0;150;0;2456;9444;0;55619;36;14378;0
2011;423,00;126;253;0;4633;28;180;0;2003;5200;0;42986;370;11116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;20;53;0;383;0;382;0;0;0;0;0;14;0;0;24;69;0;385;1;95;0;"Otros";0;0;0;0;0;0;0;2173;5575;0;48387;527;11773;0
2011;351,00;186;494;0;3663;12;2099;0;1521;5899;0;36969;431;10209;0;63;309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;62;0;830;1;1021;0;1688;5677;0;590;5;3100;0;91;336;0;1467;5;437;0;"Otros";0;0;0;0;0;0;0;3570;12777;0;43519;454;16866;0
2011;810,00;36;166;0;4801;0;288;0;453;1075;0;20063;0;3881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487;0;187;0;0;0;0;0;0;0;0;0;0;0;352;0;67;0;"Otros";0;0;0;0;0;0;0;489;1241;0;25703;0;4423;0
2011;830,00;94;414;0;56;0;397;0;39;194;0;212;8;1260;0;11437;60624;10651;174648;4420;62845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;20;0;7;1;573;0;0;0;0;0;0;0;0;50;199;0;140;1;1372;0;"Otros";0;0;0;0;0;0;0;11626;61451;10651;175063;4430;66447;0
2011;892,00;73;473;0;257;0;758;0;38;246;0;110;0;106;0;16209;105123;25174;274688;6484;98643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;85;0;453;0;243;0;166;1077;0;458;0;1329;0;25;162;0;10;0;807;0;"Otros";0;0;0;0;0;0;0;16524;107166;25174;275976;6484;101886;0
2011;921,00;472;1032;0;173;0;1731;0;12867;45062;0;214767;411;72375;0;295;1696;0;7;42;263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223;782;0;4815;0;1497;0;"Otros";0;0;0;0;0;0;0;13857;48572;0;219762;453;75866;0
2011;991,00;10;16;0;19;0;436;0;2;7;0;9;0;83;0;465;1025;0;12570;0;11872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;6;0;66;0;15;36;0;59;0;1905;0;7;17;0;0;0;72;0;"Otros";0;0;0;0;0;0;0;500;1102;0;12663;0;14434;0
2011;992,00;89;447;0;0;0;868;0;1;3;0;0;0;78;0;7510;46498;8001;139767;1699;50119;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;9;30;0;0;0;327;0;57;309;0;0;0;825;0;33;205;0;0;0;851;0;"Otros";2;8;0;0;1;78;0;7701;47500;8001;139767;1700;53164;0
2011;993,00;26;101;0;193;0;0;0;54;244;0;376;2;0;0;6332;28897;9079;140457;3033;23769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;0;200;1;0;0;84;406;0;401;5;0;0;25;176;0;756;0;0;0;"Otros";0;0;0;0;0;0;0;6536;29923;9079;142383;3041;23769;0
2011;1071,00;114;643;0;93;3;246;0;195;1794;0;510;2;54;6;26018;197329;15273;495522;5136;123861;486;0;0;0;0;0;0;0;180;1054;0;1245;20;528;0;19;254;0;86;0;518;0;545;3675;0;127;20;1762;10;96;1444;0;0;0;389;0;"Otros";0;0;0;0;0;0;0;27167;206193;15273;497583;5181;127358;502
2011;473,00;4;26;1;13;0;147;0;43;359;10;231;0;63;0;6166;29674;3517;52859;2742;26277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;5;0;12;0;4;0;"Otros";0;0;0;0;0;0;0;6214;30064;3528;53115;2742;26501;0
2011;663,00;15;59;6;42;0;1649;0;120;580;4;874;0;2346;0;16832;113329;24226;263231;3100;101509;178;30;191;59;535;0;143;0;867;5947;861;11921;163;11732;6;9;24;0;95;0;891;0;0;0;0;0;0;0;0;66;420;0;94;3;1400;0;"Otros";0;0;0;0;0;0;0;17939;120550;25156;276792;3266;119670;184
2011;552,00;0;0;0;3;0;93;0;0;0;0;1968;0;0;0;3831;39090;6514;70184;4175;14153;0;0;0;0;0;0;5;0;225;1656;275;4606;343;1561;0;0;0;0;1;0;137;0;0;0;0;0;0;0;0;12;227;0;308;1;339;0;"Otros";0;0;0;0;0;0;0;4068;40973;6789;77070;4519;16288;0
2011;772,00;79;553;63;281;0;2237;0;320;1945;714;2918;0;143;12;29642;208517;93005;401075;3534;84700;395;0;0;1;0;0;0;0;0;0;1;0;0;0;0;26;304;28;585;0;645;0;0;0;0;0;0;0;0;218;1627;1;207;0;1196;0;"Otros";0;0;0;0;0;0;0;30285;212946;93813;405066;3534;88921;407
