"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2012;420,00;2750;97;0;0;2847
2012;802,00;0;0;0;0;0
2012;266,00;15071;1693;0;0;16764
2012;580,00;5442;879;15;0;6336
2012;137,00;7630;398;0;0;8028
2012;769,00;0;0;0;0;0
2012;776,00;36977;3190;624;15;40806
2012;640,00;33593;2672;679;16;36960
2012;315,00;0;0;0;0;0
2012;40,00;0;0;0;0;0
2012;508,00;12352;2594;236;3;15185
2012;46,00;0;0;0;0;0
2012;590,00;28398;4707;650;16;33771
2012;777,00;25620;3950;556;15;30141
2012;897,00;102067;28970;128;105;131270
2012;965,00;0;0;0;0;0
2012;671,00;43120;8826;1046;61;53053
2012;461,00;7742;1726;204;0;9672
2012;376,00;11393;337;109;1;11840
2012;621,00;20661;3013;232;47;23953
2012;793,00;99423;12467;1513;159;113562
2012;324,00;5683;98;0;0;5781
2012;712,00;25429;6779;136;25;32369
2012;32,00;0;0;0;0;0
2012;361,00;0;0;0;0;0
2012;486,00;7128;629;71;0;7828
2012;595,00;25304;4864;251;43;30462
2012;433,00;9733;1253;337;2;11325
2012;1058,00;640;399;116;0;1155
2012;261,00;16360;929;422;5;17716
2012;730,00;67159;5736;828;71;73794
2012;577,00;31058;5650;734;68;37510
2012;788,00;116098;16453;1728;97;134376
2012;865,00;36538;3385;643;51;40617
2012;979,00;14788;504;1224;4;16520
2012;998,00;17426;222;831;3;18482
2012;221,00;1200;400;10;0;1610
2012;462,00;635;279;19;0;933
2012;506,00;16794;928;10;0;17732
2012;727,00;40805;9288;357;79;50529
2012;355,00;1817;75;3;1;1896
2012;487,00;1683;213;56;0;1952
2012;938,00;93399;20219;5123;150;118891
2012;886,00;2391;2358;15;1;4765
2012;835,00;6475;420;15;10;6920
2012;999,00;0;0;0;0;0
2012;798,00;68227;14448;2010;201;84886
2012;504,00;2740;2003;84;1;4828
2012;247,00;10338;1075;15;0;11428
2012;216,00;12685;931;26;0;13642
2012;654,00;12184;1495;58;1;13738
2012;65,00;0;0;0;0;0
2012;472,00;14009;1134;76;1;15220
2012;427,00;0;0;0;0;0
2012;491,00;7273;1379;244;10;8906
2012;551,00;11637;591;106;5;12339
2012;106,00;0;0;0;0;0
2012;819,00;0;0;0;0;0
2012;836,00;0;0;0;0;0
2012;915,00;0;0;0;0;0
2012;942,00;0;0;0;0;0
2012;748,00;78971;16119;96;77;95263
2012;198,00;0;0;0;0;0
2012;871,00;13897;2818;514;14;17243
2012;948,00;18536;866;43;0;19445
2012;1051,00;0;0;0;0;0
2012;1083,00;0;0;0;0;0
2012;679,00;75328;14339;286;157;90110
2012;176,00;6490;520;89;0;7099
2012;537,00;11020;841;128;2;11991
2012;608,00;18341;3836;223;81;22481
2012;596,00;11367;3003;426;0;14796
2012;749,00;113399;17937;758;202;132296
2012;758,00;199541;23894;2259;376;226070
2012;724,00;92644;22725;1821;135;117325
2012;436,00;0;0;0;0;0
2012;567,00;46;34;5;0;85
2012;677,00;76448;9445;525;66;86484
2012;670,00;64056;3348;53;0;67457
2012;588,00;0;0;0;0;0
2012;446,00;0;0;0;0;0
2012;753,00;194596;29709;221;172;224698
2012;887,00;181;757;36;0;974
2012;585,00;9181;331;0;0;9512
2012;245,00;18758;4056;142;3;22959
2012;603,00;119587;4106;568;2;124263
2012;426,00;0;0;0;0;0
2012;232,00;10316;1515;4;0;11835
2012;288,00;14341;601;41;5;14988
2012;246,00;4132;0;0;0;4132
2012;284,00;8681;1979;0;0;10660
2012;18,00;0;0;0;0;0
2012;356,00;924;852;0;0;1776
2012;401,00;0;0;0;0;0
2012;733,00;97006;17415;242;87;114750
2012;243,00;21950;1025;21;0;22996
2012;380,00;0;0;0;0;0
2012;716,00;33321;1128;275;1;34725
2012;534,00;61344;2979;180;0;64503
2012;185,00;3711;313;9;0;4033
2012;258,00;4013;550;0;0;4563
2012;505,00;6317;462;223;0;7002
2012;268,00;0;0;0;0;0
2012;602,00;0;0;0;0;0
2012;254,00;25200;2740;50;3;27993
2012;705,00;51288;3169;581;7;55045
2012;133,00;7389;1972;5;0;9366
2012;33,00;0;0;0;0;0
2012;143,00;1590;21;0;0;1611
2012;36,00;0;0;0;0;0
2012;756,00;47951;6679;246;25;54901
2012;662,00;101130;12147;599;78;113954
2012;192,00;0;0;0;0;0
2012;382,00;0;0;0;0;0
2012;322,00;0;0;0;0;0
2012;478,00;9580;562;355;0;10497
2012;352,00;0;0;0;0;0
2012;628,00;92754;10409;206;102;103471
2012;291,00;0;0;0;0;0
