"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2012;612,00;34872;1241454;0;1241454;0;1276326
2012;559,00;1630;752368;0;752368;0;753998
2012;7,00;0;197429;0;197429;0;197429
2012;283,00;0;4057668;0;4057668;0;4057668
2012;37,00;0;36864;0;36864;4007643;4044507
2012;153,00;4335;1375131;346579;1028552;0;1379466
2012;547,00;0;0;0;0;0;0
2012;397,00;0;9590;0;9590;0;9590
2012;556,00;0;0;0;0;0;0
2012;42,00;0;2529;0;2529;0;2529
2012;31,00;3015;25091;0;25091;0;28106
2012;740,00;0;0;0;0;0;0
2012;217,00;5117;907726;0;907726;0;912843
2012;863,00;0;391177;0;391177;0;391177
2012;889,00;0;0;0;0;0;0
2012;984,00;0;333266;0;333266;0;333266
2012;34,00;0;0;0;0;0;0
2012;791,00;290994;376186;0;376186;0;667180
2012;181,00;290994;376186;0;376186;0;667180
2012;430,00;0;0;0;0;0;0
2012;715,00;335000;970000;0;970000;665000;1970000
2012;521,00;26950;1450902;0;1450902;0;1477852
2012;524,00;103456;1070694;0;1070694;0;1174150
2012;432,00;472;593208;26888;566320;152635;746315
2012;19,00;0;35490;0;35490;0;35490
2012;25,00;0;4148;0;4148;0;4148
2012;26,00;0;35858;0;35858;0;35858
2012;890,00;29621;39952;0;39952;0;69573
2012;904,00;0;9064;0;9064;850;9914
2012;957,00;43585;3912;0;3912;0;47497
2012;939,00;1631466;489062;0;489062;0;2120528
2012;236,00;5556;302737;54576;248161;0;308293
2012;735,00;0;0;0;0;0;0
2012;146,00;0;0;0;0;0;0
2012;363,00;0;1626445;12627;1613818;0;1626445
2012;187,00;0;0;0;0;0;0
2012;265,00;8779;128075;0;128075;0;136854
2012;295,00;7290;235374;0;235374;283767;526431
2012;496,00;172699;1543729;0;1543729;0;1716428
2012;77,00;0;0;0;0;0;0
2012;391,00;0;99128;0;99128;0;99128
2012;240,00;0;444388;0;444388;0;444388
2012;448,00;0;12101;12101;0;0;12101
2012;151,00;0;29113;0;29113;0;29113
2012;425,00;0;11461;0;11461;0;11461
2012;300,00;0;0;0;0;0;0
2012;339,00;0;470804;0;470804;0;470804
2012;826,00;0;0;0;0;0;0
2012;874,00;0;0;0;0;0;0
2012;905,00;27901;378081;0;378081;0;405982
2012;736,00;0;291299;0;291299;0;291299
2012;459,00;0;856217;0;856217;0;856217
2012;320,00;0;288624;0;288624;89025;377649
2012;45,00;0;3619840;0;3619840;493046;4112886
2012;292,00;0;0;0;0;21005;21005
2012;618,00;0;631239;0;631239;0;631239
2012;463,00;0;464962;0;464962;0;464962
2012;891,00;0;474423;0;474423;0;474423
2012;958,00;19156;0;0;0;0;19156
2012;244,00;0;0;0;0;84744;84744
2012;28,00;0;2907;0;2907;0;2907
2012;444,00;251978;40512;0;40512;0;292490
2012;479,00;0;565253;0;565253;0;565253
2012;285,00;19687;412667;0;412667;0;432354
2012;253,00;7819;959093;0;959093;58974;1025886
2012;481,00;44840;79899;0;79899;0;124739
2012;540,00;0;2993199;135594;2857605;0;2993199
2012;332,00;0;0;0;0;0;0
2012;41,00;0;0;0;0;0;0
2012;510,00;0;107158;0;107158;0;107158
2012;305,00;0;313;0;313;0;313
2012;708,00;0;0;0;0;0;0
2012;755,00;0;703094;0;703094;0;703094
2012;750,00;0;607235;0;607235;0;607235
2012;696,00;0;0;0;0;0;0
2012;434,00;0;103381;0;103381;0;103381
2012;421,00;0;326641;0;326641;246088;572729
2012;827,00;0;0;0;0;0;0
2012;933,00;390698;1138216;0;1138216;0;1528914
2012;1030,00;79455;262926;0;262926;0;342381
2012;1003,00;0;53746;0;53746;0;53746
2012;1050,00;0;9954;0;9954;0;9954
2012;1043,00;0;0;0;0;0;0
2012;934,00;0;205619;0;205619;0;205619
2012;629,00;0;412806;0;412806;0;412806
2012;21,00;2360;261043;0;261043;0;263403
2012;615,00;19122;223388;0;223388;0;242510
2012;626,00;0;235611;0;235611;0;235611
2012;417,00;0;92206;0;92206;0;92206
2012;597,00;27098;167926;0;167926;0;195024
2012;539,00;16646;204877;0;204877;0;221523
2012;343,00;10800;195011;0;195011;0;205811
2012;135,00;3915;292809;0;292809;0;296724
2012;158,00;8897;762074;0;762074;0;770971
2012;775,00;188450;27927409;48081;27879328;0;28115859
2012;177,00;0;0;0;0;1;1
2012;578,00;0;112450;0;112450;0;112450
2012;416,00;0;567458;0;567458;0;567458
2012;561,00;0;37252;0;37252;0;37252
2012;828,00;0;4099;0;4099;0;4099
2012;860,00;11671;154139;0;154139;590582;756392
2012;935,00;2356;0;0;0;0;2356
2012;936,00;0;2029;0;2029;0;2029
2012;986,00;3102;9736;0;9736;0;12838
2012;987,00;21060;225937;0;225937;0;246997
2012;1021,00;0;1319;0;1319;0;1319
2012;1085,00;21345;0;0;0;0;21345
2012;658,00;0;107015;0;107015;0;107015
2012;353,00;0;0;0;0;8903;8903
2012;323,00;0;4467;0;4467;0;4467
2012;620,00;0;179062;0;179062;0;179062
2012;384,00;0;153992;0;153992;0;153992
2012;484,00;0;1660;1660;0;0;1660
2012;554,00;0;0;0;0;163856;163856
2012;209,00;5678;8160;0;8160;0;13838
2012;707,00;0;469525;0;469525;0;469525
2012;395,00;26195;181604;0;181604;0;207799
2012;969,00;14891;93714;0;93714;0;108605
2012;1052,00;0;4000;0;4000;0;4000
2012;739,00;0;0;0;0;0;0
2012;613,00;0;784720;0;784720;0;784720
2012;593,00;0;264000;0;264000;0;264000
2012;704,00;0;536307;0;536307;0;536307
2012;493,00;0;0;0;0;0;0
2012;686,00;0;5708594;0;5708594;0;5708594
2012;257,00;404966;942613;0;942613;0;1347579
2012;494,00;24800;199344;0;199344;0;224144
2012;681,00;77979;529364;0;529364;0;607343
2012;286,00;883588;47559727;1590639;45969088;14701;48458016
2012;255,00;0;816548;0;816548;7225;823773
2012;79,00;6383;17176;0;17176;0;23559
2012;81,00;0;0;0;0;0;0
2012;688,00;0;20000;0;20000;389754;409754
2012;531,00;0;160037;0;160037;93813;253850
2012;514,00;0;54401;0;54401;0;54401
2012;499,00;158139;330205;0;330205;0;488344
2012;532,00;0;102402;0;102402;0;102402
2012;190,00;0;39410;0;39410;0;39410
2012;598,00;0;110727;33496;77231;0;110727
2012;260,00;127000;32000;0;32000;0;159000
2012;838,00;0;1816050;425000;1391050;300000;2116050
2012;839,00;15812;124162;14147;110015;0;139974
2012;851,00;0;24195;0;24195;0;24195
2012;852,00;678636;2754327;0;2754327;0;3432963
