"año";"NCODI";"due_cTotal";"matronas_cTotal";"oDueEspeciali_cTotal";"fisioterapeutas_cTotal";"terapeutas_cTotal";"logopedas_cTotal";"oSaniMedio_cTotal";"gMedioSani_cTotal";"gSuperiorSani_cTotal";"tecSani_cTotal";"restSani_cTotal2";"due_cMujeres";"matronas_cMujeres";"oDueEspeciali_cMujeres";"fisioterapeutas_cMujeres";"terapeutas_cMujeres";"logopedas_cMujeres";"oSaniMedio_cMujeres";"gMedioSani_cMujeres";"gSuperiorSani_cMujeres";"tecSani_cMujeres";"restSani_cMujeres2";"due_pTotal";"matronas_pTotal";"oDueEspeciali_pTotal";"fisioterapeutas_pTotal";"terapeutas_pTotal";"logopedas_pTotal";"oSaniMedio_pTotal";"gMedioSani_pTotal";"gSuperiorSani_pTotal";"tecSani_pTotal";"restSani_pTotal2";"due_pMujeres";"matronas_pMujeres";"oDueEspeciali_pMujeres";"fisioterapeutas_pMujeres";"terapeutas_pMujeres";"logopedas_pMujeres";"oSaniMedio_pMujeres";"gMedioSani_pMujeres";"gSuperiorSani_pMujeres";"tecSani_pMujeres";"restSani_pMujeres2";"due_colabTotal";"matronas_colabTotal";"oDueEspeciali_colabTotal";"fisioterapeutas_colabTotal";"terapeutas_colabTotal";"logopedas_colabTotal";"oSaniMedio_colabTotal";"gMedioSani_colabTotal";"gSuperiorSani_colabTotal";"tecSani_colabTotal";"restSani_colabTotal2";"due_colabMujeres";"matronas_colabMujeres";"oDueEspeciali_colabMujeres";"fisioterapeutas_colabMujeres";"terapeutas_colabMujeres";"logopedas_colabMujeres";"oSaniMedio_colabMujeres";"gMedioSani_colabMujeres";"gSuperiorSani_colabMujeres";"tecSani_colabMujeres";"restSani_colabMujeres2";"direccion_cTotal";"trabSocial_cTotal";"perOficio_cTotal";"administrativos_cTotal";"oNoSani_cTotal";"direccion_cMujeres";"trabSocial_cMujeres";"perOficio_cMujeres";"administrativos_cMujeres";"oNoSani_cMujeres";"direccion_pTotal";"trabSocial_pTotal";"perOficio_pTotal";"administrativos_pTotal";"oNoSani_pTotal";"direccion_pMujeres";"trabSocial_pMujeres";"perOficio_pMujeres";"administrativos_pMujeres";"oNoSani_pMujeres";"direccion_colabTotal";"trabSocial_colabTotal";"perOficio_colabTotal";"administrativos_colabTotal";"oNoSani_colabTotal";"direccion_colabMujeres";"trabSocial_colabMujeres";"perOficio_colabMujeres";"administrativos_colabMujeres";"oNoSani_colabMujeres"
2012;239,00;58;0;0;12;0;0;0;58;22;80;0;41;0;0;9;0;0;0;56;11;67;0;60;0;0;3;0;0;0;41;10;51;0;56;0;0;3;0;0;0;37;9;46;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;15;0;14;79;113;5;0;2;66;81;1;0;1;17;18;0;0;1;17;8;0;0;0;0;0;0;0;0;0;0
2012;287,00;76;0;0;0;0;0;0;82;5;87;0;57;0;0;0;0;0;0;75;2;77;0;27;0;0;0;0;0;0;20;0;20;0;21;0;0;0;0;0;0;20;0;20;0;1;6;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;3;0;62;37;19;1;0;40;30;0;1;0;14;34;4;1;0;10;28;0;0;0;0;0;0;0;0;0;0;0
2012;377,00;52;0;0;6;1;0;0;59;11;70;19;44;0;0;4;1;0;0;53;11;64;8;11;0;0;0;0;0;0;5;0;5;0;11;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;18;27;19;1;3;12;20;8;0;0;4;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
2012;692,00;281;15;3;11;0;1;0;220;57;277;0;238;14;3;7;0;1;0;208;39;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;31;72;118;14;1;8;59;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;335,00;18;0;0;2;1;0;0;55;0;55;0;15;0;0;2;1;0;0;48;0;48;0;1;0;0;0;0;0;0;3;0;3;0;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;40;5;7;1;1;30;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2012;435,00;37;2;12;0;0;0;0;25;8;33;0;31;2;8;0;0;0;0;25;5;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;31;1;2;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;423,00;25;2;0;5;0;0;0;10;10;20;0;25;2;0;4;0;0;0;9;9;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;51;29;22;1;0;40;23;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;351,00;23;0;3;3;0;0;3;22;2;24;0;19;0;3;3;0;0;3;19;1;20;0;7;0;10;4;0;0;0;13;5;18;0;6;0;10;4;0;0;0;12;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;21;2;1;0;0;21;0;0;0;1;9;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
2012;830,00;313;12;5;9;0;0;3;271;52;323;0;266;12;4;7;0;0;2;247;42;289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;99;75;1;0;0;82;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;892,00;582;30;0;24;5;0;0;515;55;570;17;468;29;0;17;4;0;0;450;36;486;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;5;0;165;164;18;5;0;130;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
