"año";"NCODI";"pacienteTot_hospDom";"visitaTot_hospDom"
2012;650,00;1306;10939
2012;876,00;1100;11098
2012;944,00;0;0
2012;952,00;0;0
2012;54,00;0;0
2012;367,00;0;0
2012;538,00;0;0
2012;557,00;0;0
2012;653,00;0;0
2012;647,00;0;0
2012;978,00;0;0
2012;996,00;0;0
2012;729,00;0;0
2012;182,00;0;0
2012;633,00;0;0
2012;685,00;0;0
2012;683,00;0;0
2012;945,00;0;0
2012;953,00;0;0
2012;1022,00;0;0
2012;1049,00;0;0
2012;794,00;664;9196
2012;415,00;43;265
2012;592,00;0;0
2012;497,00;0;0
2012;726,00;165;4069
2012;272,00;0;0
2012;805,00;611;5162
2012;5,00;0;0
2012;234,00;0;0
2012;64,00;0;0
2012;842,00;402;5267
2012;843,00;238;4008
2012;1025,00;31;1841
2012;803,00;0;0
2012;211,00;0;0
2012;773,00;0;0
2012;424,00;0;0
2012;298,00;0;0
2012;594,00;0;0
2012;237,00;0;0
2012;16,00;0;0
2012;768,00;0;0
2012;617,00;0;0
2012;297,00;0;0
2012;544,00;0;0
2012;804,00;0;0
2012;470,00;107;1075
2012;104,00;0;0
2012;20,00;0;0
2012;550,00;0;0
2012;112,00;0;0
2012;818,00;0;0
2012;914,00;0;0
2012;928,00;0;0
2012;964,00;0;0
2012;1026,00;0;0
2012;1068,00;0;0
2012;738,00;0;0
2012;404,00;372;11239
2012;274,00;0;0
2012;270,00;0;0
2012;676,00;0;0
2012;709,00;0;0
2012;754,00;0;0
2012;997,00;0;0
2012;734,00;189;2644
2012;299,00;0;0
2012;645,00;0;0
2012;17,00;0;0
2012;1046,00;0;0
2012;420,00;0;0
2012;802,00;0;0
2012;266,00;0;0
2012;580,00;0;0
2012;137,00;0;0
2012;769,00;0;0
2012;776,00;766;4271
2012;640,00;659;5004
2012;315,00;0;0
2012;40,00;0;0
2012;508,00;257;3345
2012;46,00;0;0
2012;590,00;447;6574
2012;777,00;754;10372
2012;897,00;2261;29243
2012;965,00;0;0
2012;671,00;0;0
2012;461,00;0;0
2012;376,00;0;0
2012;621,00;0;0
2012;793,00;255;534
2012;324,00;0;0
2012;712,00;0;0
2012;32,00;0;0
2012;361,00;0;0
2012;486,00;0;0
2012;595,00;0;0
2012;433,00;0;0
2012;1058,00;0;0
2012;261,00;0;0
2012;730,00;0;0
2012;577,00;0;0
2012;788,00;0;0
2012;865,00;0;0
2012;979,00;0;0
2012;998,00;0;0
2012;221,00;0;0
2012;462,00;0;0
2012;506,00;0;0
2012;727,00;194;2413
2012;355,00;0;0
2012;487,00;0;0
2012;938,00;0;0
2012;886,00;0;0
2012;835,00;0;0
2012;999,00;0;0
2012;798,00;841;7428
2012;504,00;0;0
2012;247,00;0;0
2012;216,00;0;0
2012;654,00;270;796
2012;65,00;0;0
2012;472,00;0;0
2012;427,00;0;0
2012;491,00;0;0
2012;551,00;0;0
2012;106,00;0;0
2012;819,00;0;0
2012;836,00;0;0
2012;915,00;0;0
2012;942,00;0;0
2012;748,00;1401;24934
2012;198,00;0;0
2012;871,00;477;477
2012;948,00;0;0
2012;1051,00;0;0
2012;1083,00;0;0
2012;679,00;633;12779
2012;176,00;0;0
2012;537,00;0;0
2012;608,00;0;0
2012;596,00;0;0
2012;749,00;0;0
2012;758,00;254;639
2012;724,00;1529;18373
2012;436,00;0;0
2012;567,00;0;0
2012;677,00;182;8296
2012;670,00;153;1577
2012;588,00;643;5030
2012;446,00;0;0
2012;753,00;398;3720
2012;887,00;0;0
