"año";"NCODI";"Camas instaladas";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2013;904,00;"Menos de 200 camas";0;1;3;0;93;0;1;3;0;3;0;2;0;0;0;0;0
2013;957,00;"Más de 1.000 camas";21;3;33;4;1186;21;3;33;4;22;4;83;20;0;33;27;2
2013;939,00;"501 - 1000 camas";18;3;26;2;892;18;3;26;2;19;1;19;27;0;0;37;6
2013;236,00;"Menos de 200 camas";1;1;5;0;99;1;1;5;0;0;0;15;0;0;15;0;0
2013;735,00;"501 - 1000 camas";38;3;22;1;781;38;3;22;1;8;6;62;45;0;0;10;2
2013;146,00;"200 - 500 camas";0;0;0;0;267;0;0;0;0;1;0;0;0;0;0;0;0
2013;363,00;"Menos de 200 camas";0;0;6;1;186;0;0;6;1;1;0;0;0;0;0;0;0
2013;187,00;"Menos de 200 camas";0;0;4;0;185;0;0;4;0;2;0;0;0;0;0;0;0
2013;265,00;"Menos de 200 camas";0;0;2;0;71;0;0;2;0;5;0;0;0;0;0;0;0
2013;295,00;"Menos de 200 camas";0;0;5;0;16;0;0;4;0;2;0;0;0;0;0;0;0
2013;496,00;"200 - 500 camas";4;2;5;1;153;2;2;4;1;3;0;0;0;0;0;0;0
2013;77,00;"Menos de 200 camas";0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0
2013;391,00;"Menos de 200 camas";0;0;2;0;32;0;0;2;0;1;0;0;0;0;0;0;0
2013;240,00;"Menos de 200 camas";2;1;4;0;164;1;1;4;0;2;0;0;0;0;0;1;1
2013;448,00;"Menos de 200 camas";0;1;2;0;38;0;1;2;0;1;0;0;0;0;0;0;0
2013;151,00;"Menos de 200 camas";0;0;0;0;144;0;0;0;0;1;0;0;0;0;0;0;0
2013;425,00;"Menos de 200 camas";3;1;2;0;25;0;1;2;0;1;0;0;0;0;0;0;0
2013;300,00;"Menos de 200 camas";0;0;2;0;49;0;0;2;0;2;0;0;0;0;0;0;0
2013;339,00;"Menos de 200 camas";1;1;5;1;53;0;1;5;1;3;0;0;0;0;0;0;0
2013;826,00;"Menos de 200 camas";0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0
2013;874,00;"Menos de 200 camas";3;2;5;0;198;3;2;5;0;6;1;2;0;0;0;0;0
2013;905,00;"501 - 1000 camas";18;4;21;2;743;18;4;20;2;7;3;37;0;0;0;24;7
2013;736,00;"501 - 1000 camas";22;3;34;2;813;22;3;24;2;16;0;39;40;0;58;0;0
2013;459,00;"Menos de 200 camas";0;0;2;0;30;0;0;2;0;1;0;0;0;0;0;0;0
2013;320,00;"Menos de 200 camas";0;0;3;0;120;0;0;3;0;1;0;0;0;1;0;8;3
2013;45,00;"200 - 500 camas";0;0;0;0;396;0;0;0;0;0;0;0;140;57;0;0;0
2013;292,00;"Menos de 200 camas";0;0;0;0;60;0;0;0;0;0;0;0;30;0;0;0;0
2013;618,00;"Menos de 200 camas";2;1;5;0;115;2;1;5;0;6;1;12;0;0;20;0;0
2013;463,00;"200 - 500 camas";0;2;10;0;234;0;0;7;0;6;3;39;15;0;22;0;0
2013;891,00;"Menos de 200 camas";0;3;7;0;93;0;3;7;0;3;0;0;0;0;0;0;0
2013;958,00;"200 - 500 camas";10;2;9;0;318;10;2;9;0;10;0;22;0;10;6;0;0
2013;244,00;"Menos de 200 camas";1;1;2;0;50;1;1;2;0;0;0;0;0;0;0;0;0
2013;28,00;"Menos de 200 camas";0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0
2013;444,00;"Menos de 200 camas";0;0;5;0;27;0;0;5;0;3;0;2;0;0;4;0;0
2013;479,00;"Menos de 200 camas";0;0;2;0;51;0;0;2;0;1;0;0;0;0;0;36;2
2013;285,00;"Menos de 200 camas";1;2;4;1;91;1;2;4;1;2;0;7;0;0;0;0;0
2013;253,00;"Menos de 200 camas";10;5;10;1;141;7;5;10;1;3;0;0;0;0;2;10;3
2013;481,00;"Menos de 200 camas";3;2;4;1;53;3;2;4;1;3;0;0;0;0;0;0;4
2013;540,00;"Menos de 200 camas";5;3;8;1;126;5;3;8;1;5;0;0;0;0;0;0;0
2013;332,00;"Menos de 200 camas";0;0;2;0;10;0;0;2;0;0;0;0;0;0;0;0;0
2013;41,00;"Menos de 200 camas";0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0
2013;510,00;"Menos de 200 camas";0;0;5;0;42;0;0;5;0;4;0;1;0;0;1;1;1
2013;305,00;"Menos de 200 camas";0;0;2;0;12;0;0;0;0;1;0;2;0;0;0;0;0
2013;708,00;"200 - 500 camas";8;2;6;0;176;8;2;6;0;6;0;14;0;0;20;0;0
2013;755,00;"Más de 1.000 camas";59;4;51;3;1188;55;4;51;3;26;6;156;20;0;0;112;9
2013;750,00;"501 - 1000 camas";23;3;25;3;797;23;3;25;3;10;5;48;20;0;0;29;8
2013;696,00;"501 - 1000 camas";24;2;15;1;539;22;2;15;1;23;7;40;0;0;5;22;4
2013;434,00;"Menos de 200 camas";3;1;2;0;24;3;1;2;0;3;0;2;0;0;36;0;0
2013;421,00;"Menos de 200 camas";0;0;4;0;102;0;0;3;0;3;0;0;0;0;0;0;0
2013;827,00;"Menos de 200 camas";0;0;0;0;182;0;0;0;0;0;0;0;0;0;0;0;0
2013;933,00;"200 - 500 camas";0;0;10;0;170;0;0;9;0;8;0;7;0;0;32;0;2
2013;1030,00;"Menos de 200 camas";7;5;18;1;96;7;2;10;1;1;0;5;0;0;0;0;0
2013;1003,00;"Menos de 200 camas";0;0;2;0;16;0;0;2;0;1;0;4;0;0;0;6;2
2013;1050,00;"Menos de 200 camas";0;0;1;0;8;0;0;1;0;3;0;6;0;0;0;2;1
2013;1043,00;"Menos de 200 camas";8;5;8;0;104;8;5;8;0;1;0;0;0;0;0;6;0
