"año";"NCODI";"progAngioVasc_hosp";"urgeAngioVasc_hosp";"progAngioVasc_cma";"urgeAngioVasc_cma";"progAngioVasc_resto";"urgeAngioVasc_resto";"progAngioVasc_total";"urgeAngioVasc_total";"progCirCardio_hosp";"urgeCirCardio_hosp";"progCirCardio_cma";"urgeCirCardio_cma";"progCirCardio_resto";"urgeCirCardio_resto";"progCirCardio_total";"urgeCirCardio_total";"progCirGeneral_hosp";"urgeCirGeneral_hosp";"progCirGeneral_cma";"urgeCirGeneral_cma";"progCirGeneral_resto";"urgeCirGeneral_resto";"progCirGeneral_total";"urgeCirGeneral_total";"progMaxilo_hosp";"urgeMaxilo_hosp";"progMaxilo_cma";"urgeMaxilo_cma";"progMaxilo_resto";"urgeMaxilo_resto";"progMaxilo_total";"urgeMaxilo_total";"progCirPediat_hosp";"urgeCirPediat_hosp";"progCirPediat_cma";"urgeCirPediat_cma";"progCirPediat_resto";"urgeCirPediat_resto";"progCirPediat_total";"urgeCirPediat_total";"progPlastica_hosp";"urgePlastica_hosp";"progPlastica_cma";"urgePlastica_cma";"progPlastica_resto";"urgePlastica_resto";"progPlastica_total";"urgePlastica_total";"progToracica_hosp";"urgeToracica_hosp";"progToracica_cma";"urgeToracica_cma";"progToracica_resto";"urgeToracica_resto";"progToracica_total";"urgeToracica_total";"progDerma_hosp";"urgeDerma_hosp";"progDerma_cma";"urgeDerma_cma";"progDerma_resto";"urgeDerma_resto";"progDerma_total";"urgeDerma_total";"progGine_hosp";"urgeGine_hosp";"progGine_cma";"urgeGine_cma";"progGine_resto";"urgeGine_resto";"progGine_total";"urgeGine_total";"progCirNeuro_hosp";"urgeCirNeuro_hosp";"progCirNeuro_cma";"urgeCirNeuro_cma";"progCirNeuro_resto";"urgeCirNeuro_resto";"progCirNeuro_total";"urgeCirNeuro_total";"progOftalmo_hosp";"urgeOftalmo_hosp";"progOftalmo_cma";"urgeOftalmo_cma";"progOftalmo_resto";"urgeOftalmo_resto";"progOftalmo_total";"urgeOftalmo_total";"progORL_hosp";"urgeORL_hosp";"progORL_cma";"urgeORL_cma";"progORL_resto";"urgeORL_resto";"progORL_total";"urgeORL_total";"progTrauma_hosp";"urgeTrauma_hosp";"progTrauma_cma";"urgeTrauma_cma";"progTrauma_resto";"urgeTrauma_resto";"progTrauma_total";"urgeTrauma_total";"progUrolog_hosp";"urgeUrolog_hosp";"progUrolog_cma";"urgeUrolog_cma";"progUrolog_resto";"urgeUrolog_resto";"progUrolog_total";"urgeUrolog_total";"progOtrasCirugias_hosp";"urgeOtrasCirugias_hosp";"progOtrasCirugias_cma";"urgeOtrasCirugias_cma";"progOtrasCirugias_resto";"urgeOtrasCirugias_resto";"progOtrasCirugias_total";"urgeOtrasCirugias_total";"totalProg_hosp";"totalUrge_hosp";"totalProg_cma";"totalUrge_cma";"totalProg_resto";"totalUrge_resto";"total_programada";"total_urgente"
2013;567,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;977;7;1492;0;9;0;2478;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;184;1;16;0;324;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;434;9;612;1;81;2;1127;12;0;0;0;0;0;0;0;0;0;0;2222;4;109;2;2331;6;0;0;0;0;0;0;0;0;1092;16;1537;4;9;0;2638;20;233;0;543;1;20;1;796;2;0;0;0;0;0;0;0;0;2860;32;6590;11;244;5;9694;48
2013;677,00;197;59;84;0;7;7;288;66;317;69;5;0;0;1;322;70;1032;557;174;0;392;11;1598;568;244;53;119;0;5;1;368;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;258;113;18;0;5;2;281;115;10;1;261;0;402;8;673;9;0;0;0;0;0;0;0;0;515;149;10;0;2;3;527;152;103;23;1274;0;2762;20;4139;43;256;39;77;0;155;3;488;42;1338;179;521;0;4;11;1863;190;603;106;17;0;26;4;646;110;39;78;11;0;675;9;725;87;4912;1426;2571;0;4435;80;11918;1506
2013;670,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355;403;842;0;0;2;1197;405;190;43;131;0;0;15;321;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166;46;0;0;0;0;166;46;224;3;113;0;0;0;337;3;411;35;168;0;0;0;579;35;636;251;98;0;0;1;734;252;173;3;200;0;0;0;373;3;178;2;301;0;0;0;479;2;2333;786;1853;0;0;18;4186;804
2013;588,00;701;2;550;0;331;0;1582;2;0;0;0;0;0;0;0;0;1142;24;951;2;0;0;2093;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;2;808;1;0;0;859;3;0;0;0;0;0;0;0;0;1;0;402;12;939;0;1342;12;194;7;105;0;458;0;757;7;0;0;0;0;0;0;0;0;40;1;1901;6;0;0;1941;7;181;4;320;0;0;0;501;4;1013;7;573;2;0;0;1586;9;5;0;248;0;0;0;253;0;0;0;0;0;1568;0;1568;0;3328;47;5858;23;3296;0;12482;70
2013;446,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;649;5;1763;5;1816;3;4228;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;649;5;1763;5;1816;3;4228;13
2013;753,00;383;175;182;0;106;60;671;235;786;178;0;0;1;8;787;186;2369;1144;1432;7;508;53;4309;1204;827;17;234;1;126;1;1187;19;895;746;600;7;588;19;2083;772;398;8;181;0;99;0;678;8;327;97;0;0;0;6;327;103;95;0;1791;2;330;0;2216;2;940;1353;367;19;379;5;1686;1377;581;142;76;0;37;5;694;147;90;33;2347;0;2634;2;5071;35;605;113;190;0;245;6;1040;119;2376;164;474;4;301;43;3151;211;1064;71;105;2;250;0;1419;73;6;0;0;0;553;0;559;0;11742;4241;7979;42;6157;208;25878;4491
2013;887,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;585,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;31;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;883;95;40;0;0;0;923;95;0;0;0;0;0;0;0;0;16;0;0;0;0;0;16;0;955;95;40;0;0;0;995;95
2013;245,00;118;4;0;0;0;0;118;4;36;7;0;0;0;0;36;7;1078;78;127;0;4800;78;6005;156;18;0;0;0;2;0;20;0;0;0;0;0;0;0;0;0;306;0;0;0;4;0;310;0;0;0;0;0;0;0;0;0;0;0;0;0;1364;0;1364;0;963;96;80;0;8;0;1051;96;315;6;0;0;0;0;315;6;14;0;0;0;69;0;83;0;187;6;0;0;6;0;193;6;2200;98;241;0;0;0;2441;98;507;12;0;0;57;0;564;12;132;0;0;0;0;0;132;0;5874;307;448;0;6310;78;12632;385
2013;603,00;7;0;0;0;20;0;27;0;7;0;0;0;0;0;7;0;295;122;0;0;397;0;692;122;64;0;0;0;247;1;311;1;128;171;0;0;840;8;968;179;357;2;0;0;479;1;836;3;17;1;0;0;0;0;17;1;0;0;0;0;282;0;282;0;112;2;0;0;98;2;210;4;335;11;0;0;13;0;348;11;3;0;846;1;0;0;849;1;982;49;633;4;0;0;1615;53;2086;137;0;0;441;2;2527;139;464;22;0;0;431;2;895;24;217;10;0;0;69;0;286;10;5074;527;1479;5;3317;16;9870;548
